Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
8,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",2,0,0.01,0.00,"NLog.DLL",
9,"NLog.Internal.TargetWithFilterChain.PrecalculateStackTraceUsage()",1,0,0.00,0.00,"NLog.DLL",
10,"NLog.Internal.ObjectGraphScanner.FindReachableObjects(object[])",1,0,0.00,0.00,"NLog.DLL",
11,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
12,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
13,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
14,"System.RuntimeType.IsDefined(class System.Type,bool)",1,1,0.00,0.00,"mscorlib.dll",
9,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",1,0,0.00,0.00,"NLog.DLL",
10,"NLog.Internal.TargetWithFilterChain.PrecalculateStackTraceUsage()",1,0,0.00,0.00,"NLog.DLL",
11,"NLog.Internal.ObjectGraphScanner.FindReachableObjects(object[])",1,0,0.00,0.00,"NLog.DLL",
12,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
13,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
14,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
15,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
16,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
