Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
17,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
18,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
19,"System.RuntimeType.IsDefined(class System.Type,bool)",1,1,0.00,0.00,"mscorlib.dll",
3,"BingAnswers.MSDNForum..ctor()",2,0,0.01,0.00,"BingAnswers.DLL",
4,"NLog.LogManager.GetCurrentClassLogger()",2,0,0.01,0.00,"NLog.DLL",
5,"NLog.LogFactory.GetLogger(string)",2,0,0.01,0.00,"NLog.DLL",
6,"NLog.LogFactory.GetLogger(class NLog.LogFactory/LoggerCacheKey)",2,0,0.01,0.00,"NLog.DLL",
7,"NLog.LogFactory.GetConfigurationForLogger(string,class NLog.Config.LoggingConfiguration)",2,0,0.01,0.00,"NLog.DLL",
8,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",2,0,0.01,0.00,"NLog.DLL",
9,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",2,0,0.01,0.00,"NLog.DLL",
10,"NLog.Internal.TargetWithFilterChain.PrecalculateStackTraceUsage()",2,0,0.01,0.00,"NLog.DLL",
11,"NLog.Internal.ObjectGraphScanner.FindReachableObjects(object[])",2,0,0.01,0.00,"NLog.DLL",
12,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",2,0,0.01,0.00,"NLog.DLL",
13,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
14,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
15,"System.Reflection.RuntimePropertyInfo.GetValue(object,object[])",1,1,0.00,0.00,"mscorlib.dll",
13,"System.RuntimeType.IsDefined(class System.Type,bool)",1,1,0.00,0.00,"mscorlib.dll",
3,"System.Threading.Thread.Start()",1,1,0.00,0.00,"mscorlib.dll",
3,"System.Web.UI.Control.DataBind()",1,0,0.00,0.00,"System.Web.dll",
4,"ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",1,0,0.00,0.00,"App_Web_h4prl0my.dll",
5,"System.Web.UI.DataBinder.Eval(object,string)",1,1,0.00,0.00,"System.Web.dll",
3,"System.Web.HttpServerVarsCollection.GetValues(string)",1,1,0.00,0.00,"System.Web.dll",
3,"BingAnswers.WolframeAlpha..ctor()",1,0,0.00,0.00,"BingAnswers.DLL",
4,"NLog.LogManager.GetCurrentClassLogger()",1,0,0.00,0.00,"NLog.DLL",
5,"NLog.LogFactory.GetLogger(string)",1,0,0.00,0.00,"NLog.DLL",
6,"NLog.LogFactory.GetLogger(class NLog.LogFactory/LoggerCacheKey)",1,0,0.00,0.00,"NLog.DLL",
7,"NLog.LogFactory.GetConfigurationForLogger(string,class NLog.Config.LoggingConfiguration)",1,0,0.00,0.00,"NLog.DLL",
8,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",1,0,0.00,0.00,"NLog.DLL",
9,"NLog.Internal.TargetWithFilterChain.PrecalculateStackTraceUsage()",1,0,0.00,0.00,"NLog.DLL",
10,"NLog.Internal.ObjectGraphScanner.FindReachableObjects(object[])",1,0,0.00,0.00,"NLog.DLL",
11,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
12,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
13,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
14,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
15,"System.RuntimeType.IsDefined(class System.Type,bool)",1,1,0.00,0.00,"mscorlib.dll",
3,"BingAnswers.YahooAnswers..ctor()",1,0,0.00,0.00,"BingAnswers.DLL",
4,"NLog.LogManager.GetCurrentClassLogger()",1,0,0.00,0.00,"NLog.DLL",
5,"NLog.LogFactory.GetLogger(string)",1,0,0.00,0.00,"NLog.DLL",
6,"NLog.LogFactory.GetLogger(class NLog.LogFactory/LoggerCacheKey)",1,0,0.00,0.00,"NLog.DLL",
7,"NLog.LogFactory.GetConfigurationForLogger(string,class NLog.Config.LoggingConfiguration)",1,0,0.00,0.00,"NLog.DLL",
8,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",1,0,0.00,0.00,"NLog.DLL",
9,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",1,0,0.00,0.00,"NLog.DLL",
10,"NLog.Internal.TargetWithFilterChain.PrecalculateStackTraceUsage()",1,0,0.00,0.00,"NLog.DLL",
11,"NLog.Internal.ObjectGraphScanner.FindReachableObjects(object[])",1,0,0.00,0.00,"NLog.DLL",
12,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
13,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
14,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
15,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
16,"System.RuntimeType.IsDefined(class System.Type,bool)",1,1,0.00,0.00,"mscorlib.dll",
3,"BingAnswers.TrueKnowledge..ctor()",1,0,0.00,0.00,"BingAnswers.DLL",
4,"NLog.LogManager.GetCurrentClassLogger()",1,0,0.00,0.00,"NLog.DLL",
5,"NLog.LogFactory.GetLogger(string)",1,0,0.00,0.00,"NLog.DLL",
6,"NLog.LogFactory.GetLogger(class NLog.LogFactory/LoggerCacheKey)",1,0,0.00,0.00,"NLog.DLL",
7,"NLog.LogFactory.GetConfigurationForLogger(string,class NLog.Config.LoggingConfiguration)",1,0,0.00,0.00,"NLog.DLL",
8,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",1,0,0.00,0.00,"NLog.DLL",
9,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",1,0,0.00,0.00,"NLog.DLL",
10,"NLog.Internal.TargetWithFilterChain.PrecalculateStackTraceUsage()",1,0,0.00,0.00,"NLog.DLL",
11,"NLog.Internal.ObjectGraphScanner.FindReachableObjects(object[])",1,0,0.00,0.00,"NLog.DLL",
12,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
13,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
14,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
15,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
