Mark ID,Mark Name,Timestamp,\Processor(_Total)\% Processor Time,\Memory\Pages/sec,\Processor(_Total)\% Privileged Time,\Processor(_Total)\% User Time,\.NET CLR Exceptions(WebDev.WebServer40)\# of Exceps Thrown / sec,\.NET CLR Memory(WebDev.WebServer40)\# Bytes in all Heaps,\.NET CLR Memory(WebDev.WebServer40)\# Total committed bytes,\.NET CLR Memory(WebDev.WebServer40)\# Gen 0 Collections,\.NET CLR Memory(WebDev.WebServer40)\# Gen 1 Collections,\.NET CLR Memory(WebDev.WebServer40)\# Gen 2 Collections,\.NET CLR Memory(WebDev.WebServer40)\% Time in GC,\Process(WebDev.WebServer40)\% Processor Time,\Process(WebDev.WebServer40)\% Privileged Time,\Process(WebDev.WebServer40)\% User Time,\Process(WebDev.WebServer40)\Private Bytes,\.NET CLR LocksAndThreads(WebDev.WebServer40)\Contention Rate / sec,\Process(WebDev.WebServer40)\Working Set,
37,"AutoMark","24,606.40",18,2,3,15,4,"30,321,568","36,671,488",135,80,3,1,35,3,32,"165,797,888",0,"195,387,392",
38,"AutoMark","25,123.43",20,0,4,14,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,387,392",
39,"AutoMark","26,132.54",6,0,0,4,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,387,392",
40,"AutoMark","26,671.54",2,0,1,2,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,387,392",
41,"AutoMark","27,673.57",11,35,3,7,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,387,392",
42,"AutoMark","28,175.60",2,0,0,1,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,387,392",
43,"AutoMark","28,677.66",0,0,1,1,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,387,392",
44,"AutoMark","29,179.68",3,0,0,1,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,387,392",
45,"AutoMark","30,181.88",3,0,1,1,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,387,392",
46,"AutoMark","31,184.77",5,0,1,3,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,391,488",
47,"AutoMark","31,686.84",4,0,1,2,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,391,488",
48,"AutoMark","32,188.83",0,0,1,2,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,797,888",0,"195,391,488",
49,"AutoMark","32,704.91",5,0,0,1,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,801,984",0,"195,395,584",
50,"AutoMark","33,706.94",4,0,1,3,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,801,984",0,"195,395,584",
51,"AutoMark","34,708.98",2,0,0,1,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,801,984",0,"195,395,584",
52,"AutoMark","35,763.99",3,0,2,2,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,801,984",0,"195,395,584",
53,"AutoMark","36,281.02",8,0,3,4,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,801,984",0,"195,395,584",
54,"AutoMark","37,282.13",6,0,3,2,0,"30,321,568","36,671,488",135,80,3,1,0,0,0,"165,801,984",0,"195,395,584",
55,"AutoMark","38,286.24",29,15,1,27,0,"33,034,944","40,030,208",169,91,3,58,208,3,205,"209,006,592",0,"201,523,200",
56,"AutoMark","38,794.19",45,31,1,45,1,"31,677,268","41,488,384",206,105,5,8,368,0,368,"186,335,232",0,"201,801,728",
57,"AutoMark","39,311.25",43,0,1,41,0,"31,878,276","39,579,648",234,107,5,2,301,0,301,"175,857,664",0,"199,368,704",
58,"AutoMark","39,818.29",25,0,1,25,0,"36,437,292","41,099,264",253,110,6,0,209,6,203,"177,750,016",0,"203,100,160",
59,"AutoMark","40,344.25",39,0,0,36,0,"36,002,548","43,421,696",281,114,7,3,284,0,284,"178,049,024",0,"203,415,552",
60,"AutoMark","40,873.92",40,0,1,39,0,"36,004,132","43,421,696",310,114,7,3,288,0,288,"178,049,024",0,"203,419,648",
61,"AutoMark","41,396.88",37,0,2,36,0,"36,153,284","43,421,696",340,114,7,3,292,2,289,"178,049,024",0,"203,427,840",
62,"AutoMark","41,917.46",46,15,0,44,0,"63,673,920","70,688,768",379,117,8,13,350,5,344,"205,733,888",0,"231,317,504",
63,"AutoMark","42,426.40",46,0,1,45,0,"64,050,484","70,688,768",455,119,8,12,364,3,361,"205,758,464",0,"231,362,560",
64,"AutoMark","42,942.44",25,7,3,21,0,"64,050,484","70,688,768",458,119,8,5,18,0,18,"202,518,528",0,"231,198,720",
65,"AutoMark","43,459.38",17,1,4,12,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,518,528",0,"231,198,720",
66,"AutoMark","44,463.55",17,0,3,13,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,518,528",0,"231,198,720",
67,"AutoMark","44,965.61",0,0,0,2,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,518,528",0,"231,198,720",
68,"AutoMark","45,968.64",5,0,1,3,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,448,896",0,"231,170,048",
69,"AutoMark","46,970.67",4,0,2,1,0,"64,050,484","70,688,768",458,119,8,5,1,1,0,"202,448,896",0,"231,170,048",
70,"AutoMark","47,478.64",7,7,3,4,1,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
71,"AutoMark","47,984.76",13,1,2,10,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
72,"AutoMark","48,986.80",6,0,0,4,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
73,"AutoMark","49,488.82",9,1,3,8,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
74,"AutoMark","50,072.84",21,1,5,14,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
75,"AutoMark","50,603.87",20,0,1,19,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
76,"AutoMark","51,133.03",24,196,1,23,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
77,"AutoMark","52,135.97",4,0,1,3,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
78,"AutoMark","52,638.22",0,0,0,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
79,"AutoMark","53,153.04",6,0,1,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
80,"AutoMark","53,655.06",0,0,0,2,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
81,"AutoMark","54,656.12",2,0,0,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
82,"AutoMark","55,658.19",2,0,1,0,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
83,"AutoMark","56,660.23",3,0,1,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
84,"AutoMark","57,162.31",6,0,1,3,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
85,"AutoMark","57,664.32",2,0,1,3,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
86,"AutoMark","58,166.33",5,0,1,2,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
87,"AutoMark","59,168.52",5,0,2,2,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,485,760",0,"231,235,584",
88,"AutoMark","60,170.32",23,3,5,17,0,"64,050,484","70,688,768",458,119,8,5,12,0,12,"202,719,232",0,"231,477,248",
89,"AutoMark","60,683.69",20,0,1,18,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,719,232",0,"231,477,248",
90,"AutoMark","61,190.50",16,0,1,16,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"202,719,232",0,"231,477,248",
91,"AutoMark","62,192.56",2,0,0,0,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,003,008",0,"231,317,504",
92,"AutoMark","62,694.58",0,0,2,0,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,003,008",0,"231,317,504",
93,"AutoMark","63,209.63",4,0,0,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,003,008",0,"231,317,504",
94,"AutoMark","63,710.65",2,0,1,0,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,003,008",0,"231,317,504",
95,"AutoMark","64,712.71",3,0,1,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,003,008",0,"231,317,504",
96,"AutoMark","65,214.98",0,0,1,0,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,003,008",0,"231,317,504",
97,"AutoMark","66,216.80",3,0,0,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,003,008",0,"231,317,504",
98,"AutoMark","67,218.86",2,0,1,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,003,008",0,"231,317,504",
99,"AutoMark","68,220.91",5,0,2,2,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,003,008",0,"231,317,504",
100,"AutoMark","68,723.93",1,0,1,2,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,007,104",0,"231,325,696",
101,"AutoMark","69,725.23",3,0,1,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,007,104",0,"231,325,696",
102,"AutoMark","70,727.05",3,0,0,2,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,007,104",0,"231,325,696",
103,"AutoMark","71,729.16",4,0,0,3,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,007,104",0,"231,325,696",
104,"AutoMark","72,731.14",2,0,1,1,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,007,104",0,"231,325,696",
105,"AutoMark","73,246.19",7,0,1,3,0,"64,050,484","70,688,768",458,119,8,5,0,0,0,"201,007,104",0,"231,325,696",
106,"AutoMark","73,755.01",14,0,2,12,1,"63,523,232","70,688,768",463,121,8,25,107,3,104,"231,829,504",0,"232,919,040",
107,"AutoMark","74,278.09",64,22,2,63,0,"64,912,132","71,016,448",507,125,8,52,494,8,485,"222,228,480",0,"233,107,456",
108,"AutoMark","74,809.37",29,0,1,28,0,"65,488,808","73,113,600",523,139,8,29,229,2,226,"208,601,088",0,"234,127,360",
109,"AutoMark","75,406.27",29,0,0,28,0,"66,871,872","74,752,000",541,141,8,3,201,2,198,"208,879,616",0,"236,142,592",
110,"AutoMark","75,975.32",26,7,5,19,1,"68,739,788","75,616,256",547,143,8,13,30,0,30,"206,217,216",0,"236,318,720",
111,"AutoMark","76,479.37",20,0,3,19,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,217,216",0,"236,318,720",
112,"AutoMark","76,999.40",8,0,1,5,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,217,216",0,"236,318,720",
113,"AutoMark","78,001.45",3,0,2,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,364,672",0,"236,478,464",
114,"AutoMark","78,504.49",1,0,1,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,364,672",0,"236,478,464",
115,"AutoMark","79,506.56",4,0,1,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,364,672",0,"236,478,464",
116,"AutoMark","80,008.57",3,0,1,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,364,672",0,"236,478,464",
117,"AutoMark","81,009.61",3,0,0,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,364,672",0,"236,478,464",
118,"AutoMark","82,011.67",2,0,0,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,364,672",0,"236,478,464",
119,"AutoMark","82,513.72",2,0,2,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
120,"AutoMark","83,515.76",1,0,0,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
121,"AutoMark","84,030.79",5,0,0,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
122,"AutoMark","85,031.83",16,107,5,10,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
123,"AutoMark","85,574.92",5,0,0,5,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
124,"AutoMark","86,576.97",5,0,1,3,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
125,"AutoMark","87,078.99",2,0,1,0,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
126,"AutoMark","88,080.04",2,0,0,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
127,"AutoMark","88,582.07",0,0,1,0,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
128,"AutoMark","89,584.15",10,16,2,7,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,311,424",0,"236,449,792",
129,"AutoMark","90,587.23",3,0,0,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,991,360",0,"236,482,560",
130,"AutoMark","91,589.23",7,0,2,4,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,991,360",0,"236,482,560",
131,"AutoMark","92,591.29",3,0,1,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,991,360",0,"236,482,560",
132,"AutoMark","93,593.34",1,0,1,0,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,991,360",0,"236,482,560",
133,"AutoMark","94,108.38",6,0,2,0,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,991,360",0,"236,482,560",
134,"AutoMark","95,110.43",5,0,2,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,991,360",0,"236,478,464",
135,"AutoMark","96,112.49",7,9,2,4,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"206,991,360",0,"236,478,464",
136,"AutoMark","97,114.49",11,22,3,7,0,"68,739,788","75,616,256",547,143,8,13,1,0,1,"207,089,664",0,"236,531,712",
137,"AutoMark","97,616.70",0,0,1,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,089,664",0,"236,531,712",
138,"AutoMark","98,618.59",5,0,2,3,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,089,664",0,"236,531,712",
139,"AutoMark","99,620.69",3,0,2,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,089,664",0,"236,531,712",
140,"AutoMark","100,622.76",6,0,2,3,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,089,664",0,"236,531,712",
141,"AutoMark","101,124.78",2,0,1,3,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,089,664",0,"236,531,712",
142,"AutoMark","102,126.85",3,0,1,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,089,664",0,"236,531,712",
143,"AutoMark","103,128.90",3,0,1,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,089,664",0,"236,531,712",
144,"AutoMark","104,131.01",2,0,1,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,089,664",0,"236,531,712",
145,"AutoMark","104,646.98",6,0,1,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,089,664",0,"236,531,712",
146,"AutoMark","105,648.05",4,0,1,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
147,"AutoMark","106,150.09",2,0,1,3,0,"68,739,788","75,616,256",547,143,8,13,3,3,0,"207,032,320",0,"236,503,040",
148,"AutoMark","106,652.27",6,0,3,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
149,"AutoMark","107,654.16",3,0,0,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
150,"AutoMark","108,656.21",5,0,2,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
151,"AutoMark","109,158.29",2,0,0,0,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
152,"AutoMark","109,660.26",2,0,1,3,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
153,"AutoMark","110,162.31",3,0,0,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
154,"AutoMark","111,163.35",4,0,1,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
155,"AutoMark","112,165.40",3,0,0,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
156,"AutoMark","112,667.43",3,0,1,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
157,"AutoMark","113,169.50",2,0,2,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
158,"AutoMark","113,671.49",3,0,0,2,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
159,"AutoMark","114,673.56",1,0,1,1,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
160,"AutoMark","115,188.54",5,0,1,0,0,"68,739,788","75,616,256",547,143,8,13,0,0,0,"207,032,320",0,"236,503,040",
161,"AutoMark","116,190.54",10,0,1,7,2,"69,516,060","75,886,592",549,145,8,7,40,4,35,"226,349,056",0,"237,948,928",
162,"AutoMark","116,760.20",52,15,2,51,3,"70,445,792","77,127,680",578,174,8,18,372,8,364,"249,982,976",0,"241,037,312",
163,"AutoMark","117,281.54",54,7,0,53,0,"79,134,680","85,917,696",612,201,8,11,418,0,418,"233,271,296",0,"248,852,480",
164,"AutoMark","117,796.72",42,0,1,40,0,"77,640,256","85,512,192",637,204,9,24,308,0,308,"227,610,624",0,"248,205,312",
165,"AutoMark","118,309.76",29,64,1,28,3,"77,938,768","84,389,888",649,205,9,2,164,0,164,"217,989,120",0,"246,673,408",
166,"AutoMark","118,824.79",19,9,4,15,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"217,989,120",0,"246,706,176",
167,"AutoMark","119,379.82",17,21,4,14,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"217,989,120",0,"246,706,176",
168,"AutoMark","119,895.85",16,36,4,11,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"217,989,120",0,"246,706,176",
169,"AutoMark","120,908.85",21,0,3,18,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"217,989,120",0,"246,706,176",
170,"AutoMark","121,504.88",27,43,3,22,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"217,989,120",0,"246,706,176",
171,"AutoMark","122,026.97",12,7,1,9,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"217,989,120",0,"246,706,176",
172,"AutoMark","122,593.02",7,14,1,8,0,"77,938,768","84,389,888",649,205,9,2,2,0,2,"218,025,984",0,"246,751,232",
173,"AutoMark","123,595.07",2,0,0,1,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
174,"AutoMark","124,096.98",14,0,1,12,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
175,"AutoMark","125,098.14",0,0,0,1,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
176,"AutoMark","125,613.20",3,0,0,0,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
177,"AutoMark","126,614.18",2,0,0,1,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
178,"AutoMark","127,116.27",1,0,1,1,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
179,"AutoMark","128,118.33",4,0,1,2,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
180,"AutoMark","128,620.35",2,0,1,0,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
181,"AutoMark","129,621.42",3,0,1,1,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
182,"AutoMark","130,623.47",1,0,0,0,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
183,"AutoMark","131,124.50",1,0,1,2,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
184,"AutoMark","132,126.57",1,0,0,1,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
185,"AutoMark","133,128.63",2,0,0,0,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
186,"AutoMark","134,130.65",0,0,0,0,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
187,"AutoMark","134,631.71",1,0,0,0,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
188,"AutoMark","135,132.78",0,0,0,1,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
189,"AutoMark","135,647.75",1,0,0,1,0,"77,938,768","84,389,888",649,205,9,2,0,0,0,"218,025,984",0,"246,751,232",
