Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,1,0.00,71,13,71,72,
"BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,34,0.14,76,13,76,102,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",0,0.00,1,0.00,40,13,40,121,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",2,0.01,2,0.01,52,50,52,80,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",0,0.00,1,0.00,54,17,54,37,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",4,0.02,5,0.02,57,13,57,38,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",12,0.05,29,0.12,59,17,59,62,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",2,0.01,9,0.04,60,26,60,39,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",17,0.07,235,0.94,60,40,60,42,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",25,0.10,356,1.42,61,21,61,40,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",2,0.01,2,0.01,63,17,63,38,
"BingAnswers.WikiAnswers.sendBingSearchRequest(string)",0,0.00,7,0.03,29,13,29,78,
"BingAnswers.WikiHow..ctor()",0,0.00,1,0.00,20,9,20,65,
"BingAnswers.WikiHow.<>c__DisplayClass3.<ParseSearchResult>b__0()",0,0.00,80,0.32,52,50,52,83,
"BingAnswers.WikiHow.GetAnswer(string)",14,0.06,"1,103",4.40,24,13,24,61,
"BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,1,0.00,71,13,71,72,
"BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,76,0.30,76,13,76,36,
"BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,2,0.01,77,13,77,78,
"BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,1,0.00,79,39,79,115,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",0,0.00,1,0.00,39,13,39,71,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",0,0.00,2,0.01,40,13,40,121,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",2,0.01,2,0.01,52,50,52,83,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",0,0.00,1,0.00,54,17,54,37,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",3,0.01,4,0.02,57,13,57,38,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",16,0.06,52,0.21,59,17,59,62,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",9,0.04,15,0.06,60,26,60,39,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",23,0.09,317,1.26,60,40,60,42,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",18,0.07,609,2.43,61,21,61,40,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",1,0.00,1,0.00,63,17,63,38,
"BingAnswers.WikiHow.sendBingSearchRequest(string)",0,0.00,11,0.04,29,13,29,78,
"BingAnswers.WolframeAlpha..ctor()",0,0.00,1,0.00,14,9,14,65,
"BingAnswers.WolframeAlpha.GetAnswer(string)",0,0.00,7,0.03,20,13,20,37,
"BingAnswers.WolframeAlpha.SendRequest(string)",0,0.00,7,0.03,30,13,30,50,
"BingAnswers.YahooAnswers..ctor()",0,0.00,1,0.00,20,9,20,65,
"BingAnswers.YahooAnswers.GetAnswer(string)",0,0.00,9,0.04,26,13,26,71,
"BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)",0,0.00,1,0.00,80,17,80,59,
"BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)",0,0.00,1,0.00,105,21,105,41,
"BingAnswers.YahooAnswers.sendQuestionSearchRequest(string)",0,0.00,7,0.03,57,13,57,81,
"BingAnswers.YahooAnswers.sendRequest(string)",0,0.00,7,0.03,70,13,70,58,
"HtmlAgilityPack.HtmlAttribute.get_Name()",0,0.00,23,0.09,74,17,74,40,
"HtmlAgilityPack.HtmlAttribute.get_Value()",0,0.00,1,0.00,141,21,141,93,
"HtmlAgilityPack.HtmlAttribute.set_QuoteType(valuetype HtmlAgilityPack.AttributeValueQuote)",1,0.00,1,0.00,121,19,121,38,
"HtmlAgilityPack.HtmlAttributeCollection..ctor(class HtmlAgilityPack.HtmlNode)",0,0.00,1,0.00,15,9,15,104,
"HtmlAgilityPack.HtmlAttributeCollection.Append(class HtmlAgilityPack.HtmlAttribute)",0,0.00,8,0.03,212,13,212,57,
"HtmlAgilityPack.HtmlAttributeCollection.Append(class HtmlAgilityPack.HtmlAttribute)",0,0.00,11,0.04,213,13,213,50,
"HtmlAgilityPack.HtmlAttributeCollection.get_Count()",2,0.01,2,0.01,57,19,57,38,
"HtmlAgilityPack.HtmlAttributeCollection.get_Item(int32)",0,0.00,1,0.00,73,19,73,39,
"HtmlAgilityPack.HtmlAttributeCollection.get_Item(string)",0,0.00,16,0.06,43,17,43,97,
"HtmlAgilityPack.HtmlDocument..ctor()",2,0.01,50,0.20,28,9,28,57,
"HtmlAgilityPack.HtmlDocument..ctor()",4,0.02,13,0.05,36,9,36,80,
"HtmlAgilityPack.HtmlDocument..ctor()",1,0.00,5,0.02,69,9,69,72,
"HtmlAgilityPack.HtmlDocument..ctor()",2,0.01,2,0.01,83,9,83,64,
"HtmlAgilityPack.HtmlDocument..ctor()",11,0.04,28,0.11,150,13,150,66,
"HtmlAgilityPack.HtmlDocument..ctor()",2,0.01,3,0.01,151,9,151,10,
"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",1,0.00,1,0.00,"1,031",13,"1,031",37,
"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",0,0.00,13,0.05,"1,037",13,"1,037",69,
"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",0,0.00,1,0.00,"1,062",29,"1,062",59,
"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",0,0.00,9,0.04,"1,131",21,"1,131",76,
"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",1,0.00,19,0.08,"1,138",13,"1,138",24,
"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",0,0.00,11,0.04,"1,140",17,"1,142",48,
"HtmlAgilityPack.HtmlDocument.CreateAttribute()",1,0.00,1,0.00,918,13,918,44,
"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",2,0.01,2,0.01,928,13,928,26,
"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",0,0.00,2,0.01,934,21,934,58,
"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",2,0.01,25,0.10,937,21,937,60,
"HtmlAgilityPack.HtmlDocument.CurrentNodeName()",0,0.00,1,0.00,"1,166",13,"1,166",92,
"HtmlAgilityPack.HtmlDocument.IncrementPosition()",5,0.02,5,0.02,"1,277",13,"1,277",32,
"HtmlAgilityPack.HtmlDocument.IncrementPosition()",2,0.01,2,0.01,"1,283",13,"1,283",22,
"HtmlAgilityPack.HtmlDocument.IncrementPosition()",5,0.02,5,0.02,"1,284",13,"1,284",46,
"HtmlAgilityPack.HtmlDocument.IncrementPosition()",1,0.00,1,0.00,"1,287",17,"1,287",35,
"HtmlAgilityPack.HtmlDocument.IncrementPosition()",1,0.00,1,0.00,"1,294",9,"1,294",10,
"HtmlAgilityPack.HtmlDocument.IsWhiteSpace(int32)",1,0.00,1,0.00,312,13,312,65,
"HtmlAgilityPack.HtmlDocument.IsWhiteSpace(int32)",1,0.00,1,0.00,316,13,316,26,
"HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)",0,0.00,"1,062",4.23,588,9,588,10,
"HtmlAgilityPack.HtmlDocument.Load(class System.IO.TextReader)",0,0.00,21,0.08,767,13,767,40,
"HtmlAgilityPack.HtmlDocument.Load(class System.IO.TextReader)",0,0.00,"1,039",4.14,771,13,771,35,
"HtmlAgilityPack.HtmlDocument.Load(class System.IO.TextReader)",2,0.01,2,0.01,773,26,773,39,
"HtmlAgilityPack.HtmlDocument.NewCheck()",1,0.00,1,0.00,"1,298",13,"1,298",27,
"HtmlAgilityPack.HtmlDocument.NewCheck()",1,0.00,1,0.00,"1,300",17,"1,300",30,
"HtmlAgilityPack.HtmlDocument.NewCheck()",1,0.00,1,0.00,"1,302",13,"1,302",39,
"HtmlAgilityPack.HtmlDocument.NewCheck()",1,0.00,1,0.00,"1,304",17,"1,304",42,
"HtmlAgilityPack.HtmlDocument.NewCheck()",0,0.00,12,0.05,"1,327",13,"1,327",48,
"HtmlAgilityPack.HtmlDocument.NewCheck()",0,0.00,12,0.05,"1,358",13,"1,358",25,
"HtmlAgilityPack.HtmlDocument.Parse()",4,0.02,4,0.02,"1,389",13,"1,389",42,
"HtmlAgilityPack.HtmlDocument.Parse()",8,0.03,8,0.03,"1,391",17,"1,391",36,
"HtmlAgilityPack.HtmlDocument.Parse()",1,0.00,1,0.00,"1,392",17,"1,392",37,
"HtmlAgilityPack.HtmlDocument.Parse()",3,0.01,17,0.07,"1,394",17,"1,394",32,
"HtmlAgilityPack.HtmlDocument.Parse()",1,0.00,29,0.12,"1,397",25,"1,397",40,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,2,0.01,"1,419",25,"1,419",46,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,56,0.22,"1,440",29,"1,440",61,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,1,0.00,"1,449",29,"1,449",70,
"HtmlAgilityPack.HtmlDocument.Parse()",2,0.01,2,0.01,"1,454",25,"1,454",40,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,58,0.23,"1,468",29,"1,468",61,
"HtmlAgilityPack.HtmlDocument.Parse()",1,0.00,4,0.02,"1,483",25,"1,483",59,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,11,0.04,"1,492",29,"1,492",60,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,1,0.00,"1,502",29,"1,502",70,
"HtmlAgilityPack.HtmlDocument.Parse()",2,0.01,2,0.01,"1,509",25,"1,509",40,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,22,0.09,"1,521",29,"1,521",70,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,1,0.00,"1,582",29,"1,582",44,
"HtmlAgilityPack.HtmlDocument.Parse()",1,0.00,1,0.00,"1,632",25,"1,632",45,
"HtmlAgilityPack.HtmlDocument.Parse()",1,0.00,1,0.00,"1,634",29,"1,634",63,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,1,0.00,"1,635",29,"1,635",67,
"HtmlAgilityPack.HtmlDocument.Parse()",0,0.00,1,0.00,"1,663",29,"1,663",61,
"HtmlAgilityPack.HtmlDocument.Parse()",3,0.01,3,0.01,"1,707",25,"1,707",93,
"HtmlAgilityPack.HtmlDocument.Parse()",26,0.10,810,3.23,"1,709",29,"1,710",85,
"HtmlAgilityPack.HtmlDocument.PushAttributeNameEnd(int32)",1,0.00,3,0.01,"1,748",13,"1,748",63,
"HtmlAgilityPack.HtmlDocument.PushAttributeNameEnd(int32)",0,0.00,19,0.08,"1,749",9,"1,749",10,
"HtmlAgilityPack.HtmlDocument.PushAttributeNameStart(int32)",0,0.00,1,0.00,"1,753",13,"1,753",51,
"HtmlAgilityPack.HtmlDocument.PushAttributeNameStart(int32)",0,0.00,1,0.00,"1,754",13,"1,754",55,
"HtmlAgilityPack.HtmlDocument.PushAttributeNameStart(int32)",1,0.00,1,0.00,"1,755",13,"1,755",44,
"HtmlAgilityPack.HtmlDocument.PushAttributeValueEnd(int32)",1,0.00,1,0.00,"1,762",13,"1,762",89,
"HtmlAgilityPack.HtmlDocument.PushAttributeValueStart(int32,int32)",0,0.00,1,0.00,"1,775",9,"1,775",10,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",1,0.00,1,0.00,"1,781",13,"1,782",66,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",0,0.00,12,0.05,"1,791",25,"1,791",67,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",1,0.00,27,0.11,"1,805",21,"1,805",56,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",0,0.00,9,0.04,"1,808",21,"1,808",77,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",0,0.00,7,0.03,"1,810",21,"1,810",66,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",0,0.00,1,0.00,"1,813",21,"1,814",73,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",0,0.00,9,0.04,"1,819",21,"1,819",68,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",0,0.00,18,0.07,"1,825",21,"1,826",70,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",0,0.00,54,0.22,"1,845",13,"1,845",25,
"HtmlAgilityPack.HtmlDocument.PushNodeStart(valuetype HtmlAgilityPack.HtmlNodeType,int32)",2,0.01,16,0.06,"1,865",13,"1,865",52,
"HtmlAgilityPack.HtmlDocument.ReadDocumentEncoding(class HtmlAgilityPack.HtmlNode)",0,0.00,2,0.01,"1,885",13,"1,885",37,
"HtmlAgilityPack.HtmlDocument.SetIdForNode(class HtmlAgilityPack.HtmlNode,string)",0,0.00,9,0.04,993,17,993,47,
"HtmlAgilityPack.HtmlDocument.SetIdForNode(class HtmlAgilityPack.HtmlNode,string)",0,0.00,6,0.02,995,9,995,10,
"HtmlAgilityPack.HtmlNameTable..ctor()",11,0.04,34,0.14,10,9,10,56,
"HtmlAgilityPack.HtmlNameTable.Get(string)",1,0.00,7,0.03,28,13,28,42,
"HtmlAgilityPack.HtmlNameTable.GetOrAdd(string)",2,0.01,2,0.01,42,13,42,35,
"HtmlAgilityPack.HtmlNameTable.GetOrAdd(string)",1,0.00,8,0.03,43,13,43,27,
"HtmlAgilityPack.HtmlNode..ctor(valuetype HtmlAgilityPack.HtmlNodeType,class HtmlAgilityPack.HtmlDocument,int32)",1,0.00,1,0.00,124,9,124,82,
