Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"__ASP.FastObjectFactory_app_web_h4prl0my.Create_ASP_answers_aspx()",0,0.00,9,0.04,1,13,1,84,
"__EH_epilog3",2,0.01,2,0.01,534,0,534,0,
"__EH_epilog3",1,0.00,1,0.00,541,0,541,0,
"_JIT_WriteBarrierEAX@0",23,0.09,23,0.09,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEBX@0",4,0.02,4,0.02,"2,299",0,"2,299",0,
"_JIT_WriteBarrierEDI@0",1,0.00,1,0.00,"2,302",0,"2,302",0,
"_JIT_WriteBarrierESI@0",2,0.01,2,0.01,"2,301",0,"2,301",0,
"_PreStubWorker@4",0,0.00,6,0.02,747,0,747,0,
"ASP.answers_aspx..ctor()",0,0.00,9,0.04,1,13,1,84,
"ASP.answers_aspx.__BuildControl__control2(class System.Web.UI.Control)",0,0.00,1,0.00,33,13,33,57,
"ASP.answers_aspx.__BuildControl__control3()",0,0.00,1,0.00,41,13,41,81,
"ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",0,0.00,2,0.01,41,13,41,176,
"ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",0,0.00,2,0.01,48,13,48,182,
"ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",0,0.00,1,0.00,49,13,49,179,
"ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",1,0.00,3,0.01,53,13,53,179,
"ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",0,0.00,3,0.01,67,13,67,179,
"ASP.answers_aspx.ProcessRequest(class System.Web.HttpContext)",0,0.00,"10,627",42.37,1,13,1,84,
"ASP.default_aspx.ProcessRequest(class System.Web.HttpContext)",0,0.00,9,0.04,1,13,1,84,
"BingAnswers._Default.Page_Load(object,class System.EventArgs)",0,0.00,2,0.01,19,13,19,81,
"BingAnswers.Answers..ctor()",0,0.00,9,0.04,17,9,17,74,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__0()",0,0.00,164,0.65,42,52,42,72,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__1()",0,0.00,9,0.04,49,52,49,72,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__2()",0,0.00,647,2.58,56,54,56,76,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__3()",0,0.00,7,0.03,63,52,63,72,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__4()",0,0.00,9,0.04,69,52,69,72,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__5()",0,0.00,158,0.63,75,51,75,71,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__6()",0,0.00,"1,103",4.40,81,51,81,71,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__7()",0,0.00,728,2.90,87,53,87,74,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__8()",0,0.00,"9,854",39.29,99,52,99,72,
"BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",0,0.00,"12,679",50.55,143,13,143,71,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,24,17,24,85,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,28,18,28,85,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,4,0.02,40,17,40,56,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,47,17,47,54,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,2,0.01,54,17,54,50,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,61,17,61,56,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,68,17,68,56,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,2,0.01,74,17,74,38,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,80,17,80,44,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,105,40,105,42,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",77,0.31,104,0.41,113,17,113,42,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",199,0.79,679,2.71,115,21,115,53,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",40,0.16,113,0.45,116,30,116,43,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",165,0.66,"1,418",5.65,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",21,0.08,21,0.08,116,47,116,54,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",195,0.78,"6,109",24.36,117,25,117,45,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,11,0.04,122,29,122,45,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",210,0.84,"1,136",4.53,124,44,124,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",20,0.08,20,0.08,124,47,124,57,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",49,0.20,49,0.20,131,68,131,104,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,139,9,139,10,
"BingAnswers.ehow..ctor()",0,0.00,2,0.01,20,9,20,65,
"BingAnswers.ehow.<>c__DisplayClass4.<ParseSearchResult>b__0()",0,0.00,32,0.13,55,54,55,83,
"BingAnswers.ehow.GetAnswer(string)",1,0.00,158,0.63,25,13,25,61,
"BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,30,0.12,79,13,79,91,
"BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,1,0.00,83,42,83,87,
"BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,1,0.00,89,13,89,114,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",0,0.00,1,0.00,41,13,41,123,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",1,0.00,1,0.00,60,13,60,38,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",2,0.01,7,0.03,62,17,62,62,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",0,0.00,2,0.01,63,26,63,39,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",4,0.02,51,0.20,63,40,63,42,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",4,0.02,74,0.30,64,21,64,40,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",1,0.00,1,0.00,66,17,66,38,
"BingAnswers.ehow.sendBingSearchRequest(string)",0,0.00,9,0.04,30,13,30,78,
"BingAnswers.MSDNForum..ctor()",0,0.00,2,0.01,19,9,19,65,
"BingAnswers.MSDNForum.<>c__DisplayClass4.<ParseResponse>b__0()",0,0.00,9,0.04,53,54,53,92,
"BingAnswers.MSDNForum.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,9,0.04,77,13,77,38,
"BingAnswers.MSDNForum.GetAnswer(string)",0,0.00,3,0.01,25,13,25,50,
"BingAnswers.MSDNForum.GetAnswer(string)",22,0.09,644,2.57,26,13,26,28,
"BingAnswers.MSDNForum.ParseAnswer(string)",0,0.00,8,0.03,89,17,89,99,
"BingAnswers.MSDNForum.ParseAnswer(string)",0,0.00,1,0.00,90,17,90,99,
"BingAnswers.MSDNForum.ParseResponse(string)",0,0.00,1,0.00,55,21,55,41,
"BingAnswers.MSDNForum.ParseResponse(string)",3,0.01,3,0.01,60,13,60,38,
"BingAnswers.MSDNForum.ParseResponse(string)",11,0.04,27,0.11,62,17,62,62,
"BingAnswers.MSDNForum.ParseResponse(string)",5,0.02,9,0.04,63,26,63,39,
"BingAnswers.MSDNForum.ParseResponse(string)",19,0.08,207,0.83,63,40,63,42,
"BingAnswers.MSDNForum.ParseResponse(string)",9,0.04,317,1.26,64,21,64,40,
"BingAnswers.MSDNForum.ParseResponse(string)",4,0.02,4,0.02,66,17,66,38,
"BingAnswers.MSDNForum.SendRequest(string)",0,0.00,3,0.01,32,13,32,50,
"BingAnswers.Quora.<>c__DisplayClass3.<ParseSearchResult>b__0()",0,0.00,"1,528",6.09,51,50,51,81,
"BingAnswers.Quora.GetAnswer(string)",525,2.09,"9,854",39.29,23,13,23,61,
"BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,938,3.74,77,17,77,112,
"BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,278,1.11,78,17,78,153,
"BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,280,1.12,79,17,79,174,
"BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,32,0.13,81,43,81,128,
"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)",0,0.00,6,0.02,39,13,39,121,
"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)",12,0.05,12,0.05,51,50,51,81,
"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)",56,0.22,71,0.28,56,13,56,38,
"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)",169,0.67,487,1.94,58,17,58,62,
"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)",22,0.09,71,0.28,59,26,59,39,
"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)",154,0.61,"2,690",10.73,59,40,59,42,
"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)",133,0.53,"5,351",21.33,60,21,60,40,
"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)",17,0.07,17,0.07,62,17,62,38,
"BingAnswers.Quora.sendBingSearchRequest(string)",0,0.00,11,0.04,28,13,28,78,
"BingAnswers.Ranker.GetFeatures(class BingAnswers.Answer)",0,0.00,1,0.00,25,13,25,133,
"BingAnswers.StackOverflow..ctor()",0,0.00,4,0.02,21,9,21,65,
"BingAnswers.StackOverflow.<>c__DisplayClass3.<ParseResponse>b__0()",0,0.00,1,0.00,57,54,57,90,
"BingAnswers.StackOverflow.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",0,0.00,1,0.00,82,13,82,98,
"BingAnswers.StackOverflow.GetAnswer(string)",0,0.00,8,0.03,27,13,27,37,
"BingAnswers.StackOverflow.GetAnswer(string)",2,0.01,156,0.62,29,17,29,54,
"BingAnswers.StackOverflow.ParseResponse(string)",1,0.00,1,0.00,57,54,57,90,
"BingAnswers.StackOverflow.ParseResponse(string)",3,0.01,3,0.01,65,13,65,38,
"BingAnswers.StackOverflow.ParseResponse(string)",3,0.01,12,0.05,67,17,67,62,
"BingAnswers.StackOverflow.ParseResponse(string)",0,0.00,2,0.01,68,26,68,39,
"BingAnswers.StackOverflow.ParseResponse(string)",6,0.02,53,0.21,68,40,68,42,
"BingAnswers.StackOverflow.ParseResponse(string)",3,0.01,72,0.29,69,21,69,40,
"BingAnswers.StackOverflow.SendRequest(string)",0,0.00,8,0.03,37,13,37,50,
"BingAnswers.TrueKnowledge..ctor()",0,0.00,1,0.00,15,9,15,65,
"BingAnswers.TrueKnowledge.GetAnswer(string)",0,0.00,9,0.04,21,13,21,37,
"BingAnswers.TrueKnowledge.SendRequest(string)",0,0.00,9,0.04,31,13,31,50,
"BingAnswers.Util.CosineDistance(string[],string[])",0,0.00,1,0.00,239,21,239,57,
"BingAnswers.Util.MakeWebRequest(string)",0,0.00,18,0.07,135,21,135,85,
"BingAnswers.Util.MakeWebRequest(string)",0,0.00,4,0.02,138,21,138,150,
"BingAnswers.Util.MakeWebRequest(string)",0,0.00,6,0.02,142,21,142,87,
"BingAnswers.Util.MakeWebRequestStream(string)",0,0.00,27,0.11,163,21,163,85,
"BingAnswers.Util.MakeWebRequestStream(string)",0,0.00,6,0.02,166,21,166,150,
"BingAnswers.Util.MakeWebRequestStream(string)",0,0.00,14,0.06,170,21,170,87,
"BingAnswers.WikiAnswers.<>c__DisplayClass3.<ParseSearchResult>b__0()",0,0.00,35,0.14,52,50,52,80,
"BingAnswers.WikiAnswers.GetAnswer(string)",25,0.10,728,2.90,24,13,24,61,
