Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"HtmlAgilityPack.HtmlNameTable.Get(string)",7,1,0.03,0.00,
"HtmlAgilityPack.HtmlNameTable.GetOrAdd(string)",10,3,0.04,0.01,
"HtmlAgilityPack.HtmlNode..ctor(valuetype HtmlAgilityPack.HtmlNodeType,class HtmlAgilityPack.HtmlDocument,int32)",20,8,0.08,0.03,
"HtmlAgilityPack.HtmlNode.AppendChild(class HtmlAgilityPack.HtmlNode)",39,1,0.16,0.00,
"HtmlAgilityPack.HtmlNode.CloseNode(class HtmlAgilityPack.HtmlNode)",18,1,0.07,0.00,
"HtmlAgilityPack.HtmlNode.get_Attributes()",9,2,0.04,0.01,
"HtmlAgilityPack.HtmlNode.get_ChildNodes()",1,1,0.00,0.00,
"HtmlAgilityPack.HtmlNode.get_HasAttributes()",5,3,0.02,0.01,
"HtmlAgilityPack.HtmlNode.get_HasChildNodes()",12,9,0.05,0.04,
"HtmlAgilityPack.HtmlNode.get_InnerText()",1,0,0.00,0.00,
"HtmlAgilityPack.HtmlNode.get_Name()",451,13,1.80,0.05,
"HtmlAgilityPack.HtmlNode.get_NextSibling()",11,11,0.04,0.04,
"HtmlAgilityPack.HtmlNode.get_NodeType()",2,2,0.01,0.01,
"HtmlAgilityPack.HtmlNode.get_OuterHtml()",1,0,0.00,0.00,
"HtmlAgilityPack.HtmlNode.get_ParentNode()",21,21,0.08,0.08,
"HtmlAgilityPack.HtmlNode.GetId()",17,0,0.07,0.00,
"HtmlAgilityPack.HtmlNode.IsCDataElement(string)",8,1,0.03,0.00,
"HtmlAgilityPack.HtmlNode.IsClosedElement(string)",10,0,0.04,0.00,
"HtmlAgilityPack.HtmlNode.IsEmptyElement(string)",7,0,0.03,0.00,
"HtmlAgilityPack.HtmlNode.SelectNodes(string)",607,0,2.42,0.00,
"HtmlAgilityPack.HtmlNode.SelectSingleNode(string)",3,0,0.01,0.00,
"HtmlAgilityPack.HtmlNode.set_Name(string)",1,0,0.00,0.00,
"HtmlAgilityPack.HtmlNodeCollection.Append(class HtmlAgilityPack.HtmlNode)",6,0,0.02,0.00,
"HtmlAgilityPack.HtmlNodeCollection.get_Count()",3,3,0.01,0.01,
"HtmlAgilityPack.HtmlNodeCollection.get_Item(int32)",2,1,0.01,0.00,
"HtmlAgilityPack.HtmlNodeCollection.System.Collections.Generic.IEnumerable<HtmlAgilityPack.HtmlNode>.GetEnumerator()",3,1,0.01,0.00,
"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",203,22,0.81,0.09,
"HtmlAgilityPack.HtmlNodeNavigator.Clone()",221,18,0.88,0.07,
"HtmlAgilityPack.HtmlNodeNavigator.get_HasAttributes()",4,1,0.02,0.00,
"HtmlAgilityPack.HtmlNodeNavigator.get_LocalName()",70,1,0.28,0.00,
"HtmlAgilityPack.HtmlNodeNavigator.get_NodeType()",11,9,0.04,0.04,
"HtmlAgilityPack.HtmlNodeNavigator.get_Value()",1,0,0.00,0.00,
"HtmlAgilityPack.HtmlNodeNavigator.IsSamePosition(class System.Xml.XPath.XPathNavigator)",13,13,0.05,0.05,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToFirstAttribute()",4,1,0.02,0.00,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToFirstChild()",17,2,0.07,0.01,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",41,28,0.16,0.11,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNextAttribute()",3,1,0.01,0.00,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",106,76,0.42,0.30,
"HtmlAgilityPack.HtmlTextNode..ctor(class HtmlAgilityPack.HtmlDocument,int32)",2,1,0.01,0.00,
"HtmlAgilityPack.HtmlTextNode.get_Text()",1,0,0.00,0.00,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",685,685,2.73,2.73,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",60,60,0.24,0.24,
"MS.Internal.Xml.XPath.XPathSelectionIterator.MoveNext()",14,2,0.06,0.01,
"NLog.Config.ConfigurationItemFactory..cctor()",6,0,0.02,0.00,
"NLog.Config.ConfigurationItemFactory..ctor(class System.Reflection.Assembly[])",6,0,0.02,0.00,
"NLog.Config.ConfigurationItemFactory.BuildDefaultFactory()",6,0,0.02,0.00,
"NLog.Config.ConfigurationItemFactory.RegisterItemsFromAssembly(class System.Reflection.Assembly)",6,0,0.02,0.00,
"NLog.Config.ConfigurationItemFactory.RegisterItemsFromAssembly(class System.Reflection.Assembly,string)",6,0,0.02,0.00,
"NLog.Config.Factory`2.CreateInstance(string)",1,0,0.00,0.00,
"NLog.Config.Factory`2.RegisterType(class System.Type,string)",2,0,0.01,0.00,
"NLog.Config.Factory`2.ScanAssembly(class System.Reflection.Assembly,string)",6,0,0.02,0.00,
"NLog.Config.Factory`2.TryCreateInstance(string,!0&)",1,0,0.00,0.00,
"NLog.Config.XmlLoggingConfiguration..ctor(string)",9,0,0.04,0.00,
"NLog.Config.XmlLoggingConfiguration.ConfigureObjectFromAttributes(object,class NLog.Config.NLogXmlElement,bool)",1,0,0.00,0.00,
"NLog.Config.XmlLoggingConfiguration.Initialize(class System.Xml.XmlReader,string,bool)",2,0,0.01,0.00,
"NLog.Config.XmlLoggingConfiguration.ParseNLogElement(class NLog.Config.NLogXmlElement,string)",2,0,0.01,0.00,
"NLog.Config.XmlLoggingConfiguration.ParseTargetElement(class NLog.Targets.Target,class NLog.Config.NLogXmlElement)",2,0,0.01,0.00,
"NLog.Config.XmlLoggingConfiguration.ParseTargetsElement(class NLog.Config.NLogXmlElement)",2,0,0.01,0.00,
"NLog.Config.XmlLoggingConfiguration.ParseTopLevel(class NLog.Config.NLogXmlElement,string)",2,0,0.01,0.00,
"NLog.Internal.FactoryHelper.CreateInstance(class System.Type)",1,0,0.00,0.00,
"NLog.Internal.ObjectGraphScanner.FindReachableObjects(object[])",11,0,0.04,0.00,
"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",11,0,0.04,0.00,
"NLog.Internal.PropertyHelper.SetPropertyFromString(object,string,string,class NLog.Config.ConfigurationItemFactory)",1,0,0.00,0.00,
"NLog.Internal.PropertyHelper.TryGetPropertyInfo(object,string,class System.Reflection.PropertyInfo&)",2,0,0.01,0.00,
"NLog.Internal.ReflectionHelpers.SafeGetTypes(class System.Reflection.Assembly)",4,0,0.02,0.00,
"NLog.Internal.SortHelpers.BucketSort(class System.Collections.Generic.IEnumerable`1<!!0>,class NLog.Internal.SortHelpers/KeySelector`2<!!0,!!1>)",2,1,0.01,0.00,
"NLog.Internal.TargetWithFilterChain.PrecalculateStackTraceUsage()",11,0,0.04,0.00,
"NLog.Layouts.Layout.FromString(string)",1,0,0.00,0.00,
"NLog.Layouts.Layout.FromString(string,class NLog.Config.ConfigurationItemFactory)",1,0,0.00,0.00,
"NLog.Layouts.Layout.op_Implicit(string)",1,0,0.00,0.00,
"NLog.Layouts.LayoutParser.CompileLayout(class NLog.Config.ConfigurationItemFactory,class NLog.Internal.SimpleStringReader,bool,string&)",1,0,0.00,0.00,
"NLog.Layouts.LayoutParser.ParseLayoutRenderer(class NLog.Config.ConfigurationItemFactory,class NLog.Internal.SimpleStringReader)",1,0,0.00,0.00,
"NLog.Layouts.SimpleLayout..ctor(string,class NLog.Config.ConfigurationItemFactory)",1,0,0.00,0.00,
"NLog.Layouts.SimpleLayout.set_Text(string)",1,0,0.00,0.00,
"NLog.LogFactory.get_Configuration()",9,0,0.04,0.00,
"NLog.LogFactory.GetConfigurationForLogger(string,class NLog.Config.LoggingConfiguration)",11,0,0.04,0.00,
"NLog.LogFactory.GetLogger(class NLog.LogFactory/LoggerCacheKey)",20,0,0.08,0.00,
"NLog.LogFactory.GetLogger(string)",20,0,0.08,0.00,
"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",11,0,0.04,0.00,
"NLog.LogManager.GetCurrentClassLogger()",12,0,0.05,0.00,
"NLog.LogManager.GetLogger(string)",9,0,0.04,0.00,
"NLog.Targets.FileTarget..ctor()",1,0,0.00,0.00,
"NLog.Targets.FileTarget.Write(valuetype NLog.Common.AsyncLogEventInfo[])",5,1,0.02,0.00,
"NLog.Targets.Target.WriteAsyncLogEvents(valuetype NLog.Common.AsyncLogEventInfo[])",6,0,0.02,0.00,
"NLog.Targets.TargetWithLayout..ctor()",1,0,0.00,0.00,
"NLog.Targets.TargetWithLayoutHeaderAndFooter..ctor()",1,0,0.00,0.00,
"NLog.Targets.Wrappers.AsyncTargetWrapper.ProcessPendingEvents(object)",7,0,0.03,0.00,
"NLog.Targets.Wrappers.AsyncTargetWrapper.StartLazyWriterTimer()",1,0,0.00,0.00,
"System.Collections.Generic.Dictionary`2..ctor()",2,2,0.01,0.01,
"System.Collections.Generic.Dictionary`2.ContainsKey(!0)",1,1,0.00,0.00,
"System.Collections.Generic.Dictionary`2.get_Item(!0)",1,1,0.00,0.00,
"System.Collections.Generic.Dictionary`2.GetEnumerator()",1,1,0.00,0.00,
"System.Collections.Generic.Dictionary`2.set_Item(!0,!1)",11,11,0.04,0.04,
"System.Collections.Generic.List`1..ctor()",842,842,3.36,3.36,
"System.Collections.Generic.List`1.Add(!0)","1,525","1,525",6.08,6.08,
"System.Collections.Generic.List`1.Enumerator.Dispose()",60,60,0.24,0.24,
"System.Collections.Generic.List`1.Enumerator.get_Current()",143,143,0.57,0.57,
"System.Collections.Generic.List`1.Enumerator.MoveNext()","1,840","1,840",7.34,7.34,
"System.Collections.Generic.List`1.get_Count()",44,44,0.18,0.18,
"System.Collections.Generic.List`1.get_Item(int32)",2,2,0.01,0.01,
"System.Collections.Generic.List`1.GetEnumerator()","2,116","2,116",8.44,8.44,
"System.Collections.Hashtable..ctor()",46,46,0.18,0.18,
"System.Collections.Hashtable.Add(object,object)",8,8,0.03,0.03,
"System.Collections.Hashtable.get_Item(object)",13,13,0.05,0.05,
"System.Collections.Hashtable.InitHash(object,int32,uint32&,uint32&)",1,1,0.00,0.00,
"System.Collections.Hashtable.Remove(object)",3,3,0.01,0.01,
"System.Collections.Hashtable.set_Item(object,object)",7,7,0.03,0.03,
"System.Convert.ToString(object,class System.IFormatProvider)",2,2,0.01,0.01,
"System.Diagnostics.StackFrame..ctor(int32,bool)",1,1,0.00,0.00,
"System.IO.Stream.Dispose()",2,2,0.01,0.01,
"System.IO.StreamReader.ReadToEnd()",21,21,0.08,0.08,
"System.Net.HttpWebRequest.GetResponse()",20,20,0.08,0.08,
"System.Net.WebHeaderCollection.Add(string,string)",10,10,0.04,0.04,
"System.Net.WebRequest.Create(string)",45,45,0.18,0.18,
"System.Object..ctor()",1,1,0.00,0.00,
"System.Reflection.Assembly.GetTypes()",4,4,0.02,0.02,
"System.Reflection.ConstructorInfo.Invoke(object[])",1,0,0.00,0.00,
"System.Reflection.RuntimePropertyInfo.GetValue(object,object[])",1,1,0.00,0.00,
"System.RuntimeType.GetCustomAttributes(class System.Type,bool)",2,2,0.01,0.01,
"System.RuntimeType.IsDefined(class System.Type,bool)",9,9,0.04,0.04,
"System.String.Compare(string,string,bool)",262,262,1.04,1.04,
"System.String.Concat(string,string)",91,91,0.36,0.36,
"System.String.Substring(int32,int32)",80,80,0.32,0.32,
"System.String.ToLower()",501,501,2.00,2.00,
"System.SZArrayHelper.GetEnumerator()",1,1,0.00,0.00,
"System.Text.Encoding.get_Default()",4,4,0.02,0.02,
"System.Threading.Thread.get_IsAlive()","12,498","12,498",49.83,49.83,
"System.Threading.Thread.Start()",4,4,0.02,0.02,
"System.Threading.Timer.Change(int32,int32)",1,1,0.00,0.00,
"System.Type.GetProperty(string,valuetype System.Reflection.BindingFlags)",2,2,0.01,0.01,
"System.Web.HttpRequest.get_Params()",1,1,0.00,0.00,
"System.Web.HttpServerVarsCollection.GetValues(string)",3,3,0.01,0.01,
"System.Web.UI.Control.DataBind()",1,0,0.00,0.00,
"System.Web.UI.DataBinder.Eval(object,string)",8,8,0.03,0.03,
"System.Web.UI.DataBoundLiteralControl..ctor(int32,int32)",1,1,0.00,0.00,
"System.Web.UI.Page.ProcessRequest(class System.Web.HttpContext)","10,636",984,42.41,3.92,
"System.Web.UI.WebControls.Repeater.DataBind()",11,0,0.04,0.00,
"System.Xml.NameTable..ctor()",20,20,0.08,0.08,
"System.Xml.NameTable.Get(string)",6,6,0.02,0.02,
"System.Xml.Serialization.XmlSerializer..ctor(class System.Type)",8,8,0.03,0.03,
"System.Xml.Serialization.XmlSerializer.Deserialize(class System.Xml.XmlReader)",2,2,0.01,0.01,
"System.Xml.XmlDocument.Load(class System.IO.Stream)",1,1,0.00,0.00,
"System.Xml.XmlDocument.LoadXml(string)",8,8,0.03,0.03,
"System.Xml.XmlNameTable..ctor()",1,1,0.00,0.00,
"System.Xml.XmlNode.get_FirstChild()",1,1,0.00,0.00,
"System.Xml.XmlReader.Create(string)",1,1,0.00,0.00,
"System.Xml.XmlReader.ReadToFollowing(string)",1,1,0.00,0.00,
"System.Xml.XPath.XPathNavigator..ctor()",4,4,0.02,0.02,
"System.Xml.XPath.XPathNavigator.Select(string)",596,120,2.38,0.48,
"ThreadNative::IsAlive(class ThreadBaseObject *)",175,175,0.70,0.70,
"Unknown Frame(s)",1,1,0.00,0.00,
"WKS::GCHeap::Alloc(struct alloc_context *,unsigned int,unsigned long)",1,1,0.00,0.00,
