Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"__ASP.FastObjectFactory_app_web_h4prl0my.Create_ASP_answers_aspx()",9,0,0.04,0.00,
"__EH_epilog3",3,3,0.01,0.01,
"_JIT_WriteBarrierEAX@0",23,23,0.09,0.09,
"_JIT_WriteBarrierEBX@0",4,4,0.02,0.02,
"_JIT_WriteBarrierEDI@0",1,1,0.00,0.00,
"_JIT_WriteBarrierESI@0",2,2,0.01,0.01,
"_PreStubWorker@4",6,0,0.02,0.00,
"ASP.answers_aspx..ctor()",9,0,0.04,0.00,
"ASP.answers_aspx.__BuildControl__control2(class System.Web.UI.Control)",1,0,0.00,0.00,
"ASP.answers_aspx.__BuildControl__control3()",1,0,0.00,0.00,
"ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",11,1,0.04,0.00,
"ASP.answers_aspx.ProcessRequest(class System.Web.HttpContext)","10,627",0,42.37,0.00,
"ASP.default_aspx.ProcessRequest(class System.Web.HttpContext)",9,0,0.04,0.00,
"BingAnswers._Default.Page_Load(object,class System.EventArgs)",2,0,0.01,0.00,
"BingAnswers.Answers..ctor()",9,0,0.04,0.00,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__0()",164,0,0.65,0.00,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__1()",9,0,0.04,0.00,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__2()",647,0,2.58,0.00,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__3()",7,0,0.03,0.00,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__4()",9,0,0.04,0.00,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__5()",158,0,0.63,0.00,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__6()","1,103",0,4.40,0.00,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__7()",728,0,2.90,0.00,
"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__8()","9,854",0,39.29,0.00,
"BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","12,679",0,50.55,0.00,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)","9,676",976,38.58,3.89,
"BingAnswers.ehow..ctor()",2,0,0.01,0.00,
"BingAnswers.ehow.<>c__DisplayClass4.<ParseSearchResult>b__0()",32,0,0.13,0.00,
"BingAnswers.ehow.GetAnswer(string)",158,1,0.63,0.00,
"BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",32,0,0.13,0.00,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",137,12,0.55,0.05,
"BingAnswers.ehow.sendBingSearchRequest(string)",9,0,0.04,0.00,
"BingAnswers.MSDNForum..ctor()",2,0,0.01,0.00,
"BingAnswers.MSDNForum.<>c__DisplayClass4.<ParseResponse>b__0()",9,0,0.04,0.00,
"BingAnswers.MSDNForum.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",9,0,0.04,0.00,
"BingAnswers.MSDNForum.GetAnswer(string)",647,22,2.58,0.09,
"BingAnswers.MSDNForum.ParseAnswer(string)",9,0,0.04,0.00,
"BingAnswers.MSDNForum.ParseResponse(string)",568,51,2.26,0.20,
"BingAnswers.MSDNForum.SendRequest(string)",3,0,0.01,0.00,
"BingAnswers.Quora.<>c__DisplayClass3.<ParseSearchResult>b__0()","1,528",0,6.09,0.00,
"BingAnswers.Quora.GetAnswer(string)","9,854",525,39.29,2.09,
"BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","1,528",0,6.09,0.00,
"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","8,705",563,34.71,2.24,
"BingAnswers.Quora.sendBingSearchRequest(string)",11,0,0.04,0.00,
"BingAnswers.Ranker.GetFeatures(class BingAnswers.Answer)",1,0,0.00,0.00,
"BingAnswers.StackOverflow..ctor()",4,0,0.02,0.00,
"BingAnswers.StackOverflow.<>c__DisplayClass3.<ParseResponse>b__0()",1,0,0.00,0.00,
"BingAnswers.StackOverflow.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",1,0,0.00,0.00,
"BingAnswers.StackOverflow.GetAnswer(string)",164,2,0.65,0.01,
"BingAnswers.StackOverflow.ParseResponse(string)",143,16,0.57,0.06,
"BingAnswers.StackOverflow.SendRequest(string)",8,0,0.03,0.00,
"BingAnswers.TrueKnowledge..ctor()",1,0,0.00,0.00,
"BingAnswers.TrueKnowledge.GetAnswer(string)",9,0,0.04,0.00,
"BingAnswers.TrueKnowledge.SendRequest(string)",9,0,0.04,0.00,
"BingAnswers.Util.CosineDistance(string[],string[])",1,0,0.00,0.00,
"BingAnswers.Util.MakeWebRequest(string)",28,0,0.11,0.00,
"BingAnswers.Util.MakeWebRequestStream(string)",47,0,0.19,0.00,
"BingAnswers.WikiAnswers.<>c__DisplayClass3.<ParseSearchResult>b__0()",35,0,0.14,0.00,
"BingAnswers.WikiAnswers.GetAnswer(string)",728,25,2.90,0.10,
"BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",35,0,0.14,0.00,
"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",640,64,2.55,0.26,
"BingAnswers.WikiAnswers.sendBingSearchRequest(string)",7,0,0.03,0.00,
"BingAnswers.WikiHow..ctor()",1,0,0.00,0.00,
"BingAnswers.WikiHow.<>c__DisplayClass3.<ParseSearchResult>b__0()",80,0,0.32,0.00,
"BingAnswers.WikiHow.GetAnswer(string)","1,103",14,4.40,0.06,
"BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",80,0,0.32,0.00,
"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","1,004",72,4.00,0.29,
"BingAnswers.WikiHow.sendBingSearchRequest(string)",11,0,0.04,0.00,
"BingAnswers.WolframeAlpha..ctor()",1,0,0.00,0.00,
"BingAnswers.WolframeAlpha.GetAnswer(string)",7,0,0.03,0.00,
"BingAnswers.WolframeAlpha.SendRequest(string)",7,0,0.03,0.00,
"BingAnswers.YahooAnswers..ctor()",1,0,0.00,0.00,
"BingAnswers.YahooAnswers.GetAnswer(string)",9,0,0.04,0.00,
"BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)",2,0,0.01,0.00,
"BingAnswers.YahooAnswers.sendQuestionSearchRequest(string)",7,0,0.03,0.00,
"BingAnswers.YahooAnswers.sendRequest(string)",7,0,0.03,0.00,
"HtmlAgilityPack.HtmlAttribute.get_Name()",23,0,0.09,0.00,
"HtmlAgilityPack.HtmlAttribute.get_Value()",1,0,0.00,0.00,
"HtmlAgilityPack.HtmlAttribute.set_QuoteType(valuetype HtmlAgilityPack.AttributeValueQuote)",1,1,0.00,0.00,
"HtmlAgilityPack.HtmlAttributeCollection..ctor(class HtmlAgilityPack.HtmlNode)",1,0,0.00,0.00,
"HtmlAgilityPack.HtmlAttributeCollection.Append(class HtmlAgilityPack.HtmlAttribute)",19,0,0.08,0.00,
"HtmlAgilityPack.HtmlAttributeCollection.get_Count()",2,2,0.01,0.01,
"HtmlAgilityPack.HtmlAttributeCollection.get_Item(int32)",1,0,0.00,0.00,
"HtmlAgilityPack.HtmlAttributeCollection.get_Item(string)",16,0,0.06,0.00,
"HtmlAgilityPack.HtmlDocument..ctor()",101,22,0.40,0.09,
"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",54,2,0.22,0.01,
"HtmlAgilityPack.HtmlDocument.CreateAttribute()",1,1,0.00,0.00,
"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",29,4,0.12,0.02,
"HtmlAgilityPack.HtmlDocument.CurrentNodeName()",1,0,0.00,0.00,
"HtmlAgilityPack.HtmlDocument.IncrementPosition()",14,14,0.06,0.06,
"HtmlAgilityPack.HtmlDocument.IsWhiteSpace(int32)",2,2,0.01,0.01,
"HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)","1,062",0,4.23,0.00,
"HtmlAgilityPack.HtmlDocument.Load(class System.IO.TextReader)","1,062",2,4.23,0.01,
"HtmlAgilityPack.HtmlDocument.NewCheck()",28,4,0.11,0.02,
"HtmlAgilityPack.HtmlDocument.Parse()","1,036",53,4.13,0.21,
"HtmlAgilityPack.HtmlDocument.PushAttributeNameEnd(int32)",22,1,0.09,0.00,
"HtmlAgilityPack.HtmlDocument.PushAttributeNameStart(int32)",3,1,0.01,0.00,
"HtmlAgilityPack.HtmlDocument.PushAttributeValueEnd(int32)",1,1,0.00,0.00,
"HtmlAgilityPack.HtmlDocument.PushAttributeValueStart(int32,int32)",1,0,0.00,0.00,
"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",138,2,0.55,0.01,
"HtmlAgilityPack.HtmlDocument.PushNodeStart(valuetype HtmlAgilityPack.HtmlNodeType,int32)",16,2,0.06,0.01,
"HtmlAgilityPack.HtmlDocument.ReadDocumentEncoding(class HtmlAgilityPack.HtmlNode)",2,0,0.01,0.00,
"HtmlAgilityPack.HtmlDocument.SetIdForNode(class HtmlAgilityPack.HtmlNode,string)",15,0,0.06,0.00,
"HtmlAgilityPack.HtmlNameTable..ctor()",34,11,0.14,0.04,
