Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"HtmlAgilityPack.HtmlNode.get_HasAttributes()",1,0.00,0x134F8664,259,17,259,44,
"HtmlAgilityPack.HtmlNode.get_HasAttributes()",1,0.00,0x134F8672,263,17,263,29,
"HtmlAgilityPack.HtmlNode.get_HasChildNodes()",9,0.04,0x134F92E4,279,17,279,44,
"HtmlAgilityPack.HtmlNode.get_Name()",2,0.01,0x134F8CF0,444,17,444,35,
"HtmlAgilityPack.HtmlNode.get_Name()",1,0.00,0x134F8D18,448,17,448,71,
"HtmlAgilityPack.HtmlNode.get_Name()",1,0.00,0x134F8D26,448,17,448,71,
"HtmlAgilityPack.HtmlNode.get_Name()",9,0.04,0x134F8D2B,448,17,448,71,
"HtmlAgilityPack.HtmlNode.get_NextSibling()",6,0.02,0x134F9CF0,458,19,458,36,
"HtmlAgilityPack.HtmlNode.get_NextSibling()",5,0.02,0x134F9CF3,458,19,458,36,
"HtmlAgilityPack.HtmlNode.get_NodeType()",2,0.01,0x134F8D53,467,19,467,36,
"HtmlAgilityPack.HtmlNode.get_ParentNode()",18,0.07,0x134F91E0,521,19,521,38,
"HtmlAgilityPack.HtmlNode.get_ParentNode()",3,0.01,0x134F91E3,521,19,521,38,
"HtmlAgilityPack.HtmlNode.IsCDataElement(string)",1,0.00,0x134F8DA0,613,13,613,30,
"HtmlAgilityPack.HtmlNodeCollection.get_Count()",1,0.00,0x134F9315,80,19,80,39,
"HtmlAgilityPack.HtmlNodeCollection.get_Count()",2,0.01,0x134F9317,80,19,80,39,
"HtmlAgilityPack.HtmlNodeCollection.get_Item(int32)",1,0.00,0x134F933C,96,19,96,40,
"HtmlAgilityPack.HtmlNodeCollection.System.Collections.Generic.IEnumerable<HtmlAgilityPack.HtmlNode>.GetEnumerator()",1,0.00,0x134F921D,149,13,149,43,
"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",1,0.00,0x134F9AA4,20,9,20,56,
"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",8,0.03,0x134F9AAD,20,9,20,56,
"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",4,0.02,0x134F9ABF,21,9,21,64,
"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",4,0.02,0x134F9AC8,21,9,21,64,
"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",2,0.01,0x134F9AD7,53,13,53,29,
"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",2,0.01,0x134F9AF1,61,13,61,39,
"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",1,0.00,0x134F9B02,63,9,63,10,
"HtmlAgilityPack.HtmlNodeNavigator.Clone()",1,0.00,0x134F9A69,428,13,428,48,
"HtmlAgilityPack.HtmlNodeNavigator.Clone()",3,0.01,0x134F9A6E,428,13,428,48,
"HtmlAgilityPack.HtmlNodeNavigator.Clone()",13,0.05,0x134F9A7A,428,13,428,48,
"HtmlAgilityPack.HtmlNodeNavigator.Clone()",1,0.00,0x134F9A7E,428,13,428,48,
"HtmlAgilityPack.HtmlNodeNavigator.get_HasAttributes()",1,0.00,0x134F9F01,230,17,230,60,
"HtmlAgilityPack.HtmlNodeNavigator.get_LocalName()",1,0.00,0x134F9D50,272,17,272,63,
"HtmlAgilityPack.HtmlNodeNavigator.get_NodeType()",2,0.01,0x134F9BD0,320,17,320,47,
"HtmlAgilityPack.HtmlNodeNavigator.get_NodeType()",1,0.00,0x134F9BDA,320,17,320,47,
"HtmlAgilityPack.HtmlNodeNavigator.get_NodeType()",3,0.01,0x134F9BDF,320,17,320,47,
"HtmlAgilityPack.HtmlNodeNavigator.get_NodeType()",1,0.00,0x134F9BFB,332,25,332,51,
"HtmlAgilityPack.HtmlNodeNavigator.get_NodeType()",1,0.00,0x134F9C02,336,29,336,49,
"HtmlAgilityPack.HtmlNodeNavigator.get_NodeType()",1,0.00,0x134F9C06,336,29,336,49,
"HtmlAgilityPack.HtmlNodeNavigator.IsSamePosition(class System.Xml.XPath.XPathNavigator)",4,0.02,0x134FB600,469,13,469,64,
"HtmlAgilityPack.HtmlNodeNavigator.IsSamePosition(class System.Xml.XPath.XPathNavigator)",4,0.02,0x134FB60D,469,13,469,64,
"HtmlAgilityPack.HtmlNodeNavigator.IsSamePosition(class System.Xml.XPath.XPathNavigator)",1,0.00,0x134FB617,476,13,476,55,
"HtmlAgilityPack.HtmlNodeNavigator.IsSamePosition(class System.Xml.XPath.XPathNavigator)",4,0.02,0x134FB623,476,13,476,55,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToFirstAttribute()",1,0.00,0x134F9EA0,555,13,555,32,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToFirstChild()",1,0.00,0x134F9B80,571,13,571,45,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToFirstChild()",1,0.00,0x134F9B99,576,13,576,55,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",8,0.03,0x134F9CA0,630,13,630,50,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",2,0.01,0x134F9CA4,630,13,630,50,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",11,0.04,0x134F9CAB,630,13,630,50,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",2,0.01,0x134F9CBA,637,13,637,53,
