Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"App_Web_h4prl0my.dll","10,645",1,42.44,0.00,
"BingAnswers.DLL","24,086","2,343",96.03,9.34,
"clr.dll",960,954,3.83,3.80,
"HtmlAgilityPack.DLL","1,676",380,6.68,1.52,
"mscorlib.dll","20,153","20,153",80.35,80.35,
"NLog.DLL",29,2,0.12,0.01,
"System.dll",75,75,0.30,0.30,
"System.Web.dll","10,636",997,42.41,3.98,
"System.Xml.dll",632,175,2.52,0.70,
"UNKNOWN",1,1,0.00,0.00,
