Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","__ASP.FastObjectFactory_app_web_h4prl0my.Create_ASP_answers_aspx()","__ASP.FastObjectFactory_app_web_h4prl0my.Create_ASP_answers_aspx()",9,0,0.04,0.00,
"Callee","__ASP.FastObjectFactory_app_web_h4prl0my.Create_ASP_answers_aspx()","ASP.answers_aspx..ctor()",9,0,0.04,0.00,
"Root","__EH_epilog3","__EH_epilog3",3,3,0.01,0.01,
"Caller","__EH_epilog3","BingAnswers.MSDNForum.ParseResponse(string)",1,1,0.00,0.00,
"Caller","__EH_epilog3","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)",1,1,0.00,0.00,
"Caller","__EH_epilog3","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)",1,1,0.00,0.00,
"Root","_JIT_WriteBarrierEAX@0","_JIT_WriteBarrierEAX@0",23,23,0.09,0.09,
"Caller","_JIT_WriteBarrierEAX@0","HtmlAgilityPack.HtmlDocument..ctor()",1,1,0.00,0.00,
"Caller","_JIT_WriteBarrierEAX@0","HtmlAgilityPack.HtmlDocument.PushAttributeNameStart(int32)",1,1,0.00,0.00,
"Caller","_JIT_WriteBarrierEAX@0","HtmlAgilityPack.HtmlNode..ctor(valuetype HtmlAgilityPack.HtmlNodeType,class HtmlAgilityPack.HtmlDocument,int32)",2,2,0.01,0.01,
"Caller","_JIT_WriteBarrierEAX@0","HtmlAgilityPack.HtmlNode.set_Name(string)",1,1,0.00,0.00,
"Caller","_JIT_WriteBarrierEAX@0","HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",6,6,0.02,0.02,
"Caller","_JIT_WriteBarrierEAX@0","HtmlAgilityPack.HtmlNodeNavigator.MoveToFirstChild()",1,1,0.00,0.00,
"Caller","_JIT_WriteBarrierEAX@0","HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",2,2,0.01,0.01,
"Caller","_JIT_WriteBarrierEAX@0","HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",9,9,0.04,0.04,
"Root","_JIT_WriteBarrierEBX@0","_JIT_WriteBarrierEBX@0",4,4,0.02,0.02,
"Caller","_JIT_WriteBarrierEBX@0","HtmlAgilityPack.HtmlNodeCollection.Append(class HtmlAgilityPack.HtmlNode)",1,1,0.00,0.00,
"Caller","_JIT_WriteBarrierEBX@0","HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",3,3,0.01,0.01,
"Root","_JIT_WriteBarrierEDI@0","_JIT_WriteBarrierEDI@0",1,1,0.00,0.00,
"Caller","_JIT_WriteBarrierEDI@0","HtmlAgilityPack.HtmlNode.get_Attributes()",1,1,0.00,0.00,
"Root","_JIT_WriteBarrierESI@0","_JIT_WriteBarrierESI@0",2,2,0.01,0.01,
"Caller","_JIT_WriteBarrierESI@0","HtmlAgilityPack.HtmlNameTable..ctor()",1,1,0.00,0.00,
"Caller","_JIT_WriteBarrierESI@0","HtmlAgilityPack.HtmlNode..ctor(valuetype HtmlAgilityPack.HtmlNodeType,class HtmlAgilityPack.HtmlDocument,int32)",1,1,0.00,0.00,
"Root","_PreStubWorker@4","_PreStubWorker@4",6,0,0.02,0.00,
"Caller","_PreStubWorker@4","NLog.Config.XmlLoggingConfiguration..ctor(string)",6,0,0.02,0.00,
"Callee","_PreStubWorker@4","NLog.Config.ConfigurationItemFactory..cctor()",6,0,0.02,0.00,
"Root","ASP.answers_aspx..ctor()","ASP.answers_aspx..ctor()",9,0,0.04,0.00,
"Caller","ASP.answers_aspx..ctor()","__ASP.FastObjectFactory_app_web_h4prl0my.Create_ASP_answers_aspx()",9,0,0.04,0.00,
"Callee","ASP.answers_aspx..ctor()","BingAnswers.Answers..ctor()",9,0,0.04,0.00,
