Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","ASP.answers_aspx.__BuildControl__control2(class System.Web.UI.Control)","ASP.answers_aspx.__BuildControl__control2(class System.Web.UI.Control)",1,0,0.00,0.00,
"Caller","ASP.answers_aspx.__BuildControl__control2(class System.Web.UI.Control)","System.Web.UI.WebControls.Repeater.DataBind()",1,0,0.00,0.00,
"Callee","ASP.answers_aspx.__BuildControl__control2(class System.Web.UI.Control)","ASP.answers_aspx.__BuildControl__control3()",1,0,0.00,0.00,
"Root","ASP.answers_aspx.__BuildControl__control3()","ASP.answers_aspx.__BuildControl__control3()",1,0,0.00,0.00,
"Caller","ASP.answers_aspx.__BuildControl__control3()","ASP.answers_aspx.__BuildControl__control2(class System.Web.UI.Control)",1,0,0.00,0.00,
"Callee","ASP.answers_aspx.__BuildControl__control3()","System.Web.UI.DataBoundLiteralControl..ctor(int32,int32)",1,1,0.00,0.00,
"Root","ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)","ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",11,1,0.04,0.00,
"Caller","ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)","System.Web.UI.Control.DataBind()",1,0,0.00,0.00,
"Caller","ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)","System.Web.UI.WebControls.Repeater.DataBind()",10,1,0.04,0.00,
"Callee","ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)","System.Convert.ToString(object,class System.IFormatProvider)",2,2,0.01,0.01,
"Callee","ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)","System.Web.UI.DataBinder.Eval(object,string)",8,8,0.03,0.03,
"Root","ASP.answers_aspx.ProcessRequest(class System.Web.HttpContext)","ASP.answers_aspx.ProcessRequest(class System.Web.HttpContext)","10,627",0,42.37,0.00,
"Callee","ASP.answers_aspx.ProcessRequest(class System.Web.HttpContext)","System.Web.UI.Page.ProcessRequest(class System.Web.HttpContext)","10,627",977,42.37,3.90,
"Root","ASP.default_aspx.ProcessRequest(class System.Web.HttpContext)","ASP.default_aspx.ProcessRequest(class System.Web.HttpContext)",9,0,0.04,0.00,
"Callee","ASP.default_aspx.ProcessRequest(class System.Web.HttpContext)","System.Web.UI.Page.ProcessRequest(class System.Web.HttpContext)",9,7,0.04,0.03,
"Root","BingAnswers._Default.Page_Load(object,class System.EventArgs)","BingAnswers._Default.Page_Load(object,class System.EventArgs)",2,0,0.01,0.00,
"Caller","BingAnswers._Default.Page_Load(object,class System.EventArgs)","System.Web.UI.Page.ProcessRequest(class System.Web.HttpContext)",2,0,0.01,0.00,
"Callee","BingAnswers._Default.Page_Load(object,class System.EventArgs)","System.Web.HttpServerVarsCollection.GetValues(string)",2,2,0.01,0.01,
"Root","BingAnswers.Answers..ctor()","BingAnswers.Answers..ctor()",9,0,0.04,0.00,
"Caller","BingAnswers.Answers..ctor()","ASP.answers_aspx..ctor()",9,0,0.04,0.00,
"Callee","BingAnswers.Answers..ctor()","NLog.LogManager.GetLogger(string)",9,0,0.04,0.00,
"Root","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__0()","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__0()",164,0,0.65,0.00,
"Callee","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__0()","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",164,0,0.65,0.00,
"Root","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__1()","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__1()",9,0,0.04,0.00,
"Callee","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__1()","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",9,0,0.04,0.00,
"Root","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__2()","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__2()",647,0,2.58,0.00,
"Callee","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__2()","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",647,0,2.58,0.00,
"Root","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__3()","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__3()",7,0,0.03,0.00,
"Callee","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__3()","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",7,0,0.03,0.00,
"Root","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__4()","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__4()",9,0,0.04,0.00,
"Callee","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__4()","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",9,0,0.04,0.00,
"Root","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__5()","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__5()",158,0,0.63,0.00,
"Callee","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__5()","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",158,0,0.63,0.00,
"Root","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__6()","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__6()","1,103",0,4.40,0.00,
"Callee","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__6()","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","1,103",0,4.40,0.00,
"Root","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__7()","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__7()",728,0,2.90,0.00,
"Callee","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__7()","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",728,0,2.90,0.00,
"Root","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__8()","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__8()","9,854",0,39.29,0.00,
"Callee","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__8()","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","9,854",0,39.29,0.00,
"Root","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","12,679",0,50.55,0.00,
"Caller","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__0()",164,0,0.65,0.00,
"Caller","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__1()",9,0,0.04,0.00,
"Caller","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__2()",647,0,2.58,0.00,
"Caller","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__3()",7,0,0.03,0.00,
"Caller","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__4()",9,0,0.04,0.00,
"Caller","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__5()",158,0,0.63,0.00,
"Caller","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__6()","1,103",0,4.40,0.00,
"Caller","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__7()",728,0,2.90,0.00,
"Caller","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__8()","9,854",0,39.29,0.00,
"Callee","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.ehow.GetAnswer(string)",158,1,0.63,0.00,
"Callee","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.MSDNForum.GetAnswer(string)",647,22,2.58,0.09,
"Callee","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.Quora.GetAnswer(string)","9,854",525,39.29,2.09,
"Callee","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.StackOverflow.GetAnswer(string)",164,2,0.65,0.01,
"Callee","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.TrueKnowledge.GetAnswer(string)",9,0,0.04,0.00,
"Callee","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.WikiAnswers.GetAnswer(string)",728,25,2.90,0.10,
"Callee","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.WikiHow.GetAnswer(string)","1,103",14,4.40,0.06,
"Callee","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.WolframeAlpha.GetAnswer(string)",7,0,0.03,0.00,
"Callee","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","BingAnswers.YahooAnswers.GetAnswer(string)",9,0,0.04,0.00,
"Root","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","9,676",976,38.58,3.89,
"Caller","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Web.UI.Page.ProcessRequest(class System.Web.HttpContext)","9,650",976,38.48,3.89,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","BingAnswers.ehow..ctor()",2,0,0.01,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","BingAnswers.MSDNForum..ctor()",2,0,0.01,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","BingAnswers.StackOverflow..ctor()",4,0,0.02,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","BingAnswers.TrueKnowledge..ctor()",1,0,0.00,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","BingAnswers.WikiHow..ctor()",1,0,0.00,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","BingAnswers.WolframeAlpha..ctor()",1,0,0.00,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","BingAnswers.YahooAnswers..ctor()",1,0,0.00,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",22,22,0.09,0.09,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Collections.Generic.List`1..ctor()",458,458,1.83,1.83,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Collections.Generic.List`1.Enumerator.Dispose()",40,40,0.16,0.16,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Collections.Generic.List`1.Enumerator.get_Current()",73,73,0.29,0.29,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Collections.Generic.List`1.Enumerator.MoveNext()",936,936,3.73,3.73,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Collections.Generic.List`1.get_Count()",27,27,0.11,0.11,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Collections.Generic.List`1.GetEnumerator()","1,203","1,203",4.80,4.80,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Threading.Thread.get_IsAlive()","5,914","5,914",23.58,23.58,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Threading.Thread.Start()",1,1,0.00,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Web.HttpRequest.get_Params()",1,1,0.00,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Web.HttpServerVarsCollection.GetValues(string)",1,1,0.00,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Web.UI.Control.DataBind()",1,0,0.00,0.00,
"Callee","BingAnswers.Answers.Page_Load(object,class System.EventArgs)","System.Web.UI.WebControls.Repeater.DataBind()",11,0,0.04,0.00,
"Root","BingAnswers.ehow..ctor()","BingAnswers.ehow..ctor()",2,0,0.01,0.00,
"Caller","BingAnswers.ehow..ctor()","BingAnswers.Answers.Page_Load(object,class System.EventArgs)",2,0,0.01,0.00,
"Callee","BingAnswers.ehow..ctor()","NLog.LogManager.GetCurrentClassLogger()",2,0,0.01,0.00,
"Root","BingAnswers.ehow.<>c__DisplayClass4.<ParseSearchResult>b__0()","BingAnswers.ehow.<>c__DisplayClass4.<ParseSearchResult>b__0()",32,0,0.13,0.00,
"Callee","BingAnswers.ehow.<>c__DisplayClass4.<ParseSearchResult>b__0()","BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",32,0,0.13,0.00,
"Root","BingAnswers.ehow.GetAnswer(string)","BingAnswers.ehow.GetAnswer(string)",158,1,0.63,0.00,
"Caller","BingAnswers.ehow.GetAnswer(string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",158,1,0.63,0.00,
"Callee","BingAnswers.ehow.GetAnswer(string)","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",137,12,0.55,0.05,
"Callee","BingAnswers.ehow.GetAnswer(string)","BingAnswers.ehow.sendBingSearchRequest(string)",9,0,0.04,0.00,
"Callee","BingAnswers.ehow.GetAnswer(string)","JIT_GetGenericsGCStaticBase(class MethodTable *)",11,11,0.04,0.04,
"Root","BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",32,0,0.13,0.00,
"Caller","BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.ehow.<>c__DisplayClass4.<ParseSearchResult>b__0()",32,0,0.13,0.00,
"Callee","BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)",30,0,0.12,0.00,
"Callee","BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlNode.SelectNodes(string)",1,0,0.00,0.00,
"Callee","BingAnswers.ehow.GetEhowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlNode.SelectSingleNode(string)",1,0,0.00,0.00,
"Root","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",137,12,0.55,0.05,
"Caller","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","BingAnswers.ehow.GetAnswer(string)",137,12,0.55,0.05,
"Callee","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1..ctor()",5,5,0.02,0.02,
"Callee","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Add(!0)",29,29,0.12,0.12,
"Callee","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.Dispose()",1,1,0.00,0.00,
"Callee","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.get_Current()",2,2,0.01,0.01,
"Callee","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.MoveNext()",11,11,0.04,0.04,
"Callee","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.GetEnumerator()",6,6,0.02,0.02,
"Callee","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","System.Threading.Thread.get_IsAlive()",70,70,0.28,0.28,
"Callee","BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)","System.Xml.Serialization.XmlSerializer.Deserialize(class System.Xml.XmlReader)",1,1,0.00,0.00,
"Root","BingAnswers.ehow.sendBingSearchRequest(string)","BingAnswers.ehow.sendBingSearchRequest(string)",9,0,0.04,0.00,
"Caller","BingAnswers.ehow.sendBingSearchRequest(string)","BingAnswers.ehow.GetAnswer(string)",9,0,0.04,0.00,
"Callee","BingAnswers.ehow.sendBingSearchRequest(string)","BingAnswers.Util.MakeWebRequestStream(string)",9,0,0.04,0.00,
"Root","BingAnswers.MSDNForum..ctor()","BingAnswers.MSDNForum..ctor()",2,0,0.01,0.00,
"Caller","BingAnswers.MSDNForum..ctor()","BingAnswers.Answers.Page_Load(object,class System.EventArgs)",2,0,0.01,0.00,
"Callee","BingAnswers.MSDNForum..ctor()","NLog.LogManager.GetCurrentClassLogger()",2,0,0.01,0.00,
"Root","BingAnswers.MSDNForum.<>c__DisplayClass4.<ParseResponse>b__0()","BingAnswers.MSDNForum.<>c__DisplayClass4.<ParseResponse>b__0()",9,0,0.04,0.00,
"Callee","BingAnswers.MSDNForum.<>c__DisplayClass4.<ParseResponse>b__0()","BingAnswers.MSDNForum.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",9,0,0.04,0.00,
"Root","BingAnswers.MSDNForum.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.MSDNForum.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",9,0,0.04,0.00,
"Caller","BingAnswers.MSDNForum.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.MSDNForum.<>c__DisplayClass4.<ParseResponse>b__0()",9,0,0.04,0.00,
"Callee","BingAnswers.MSDNForum.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.MSDNForum.ParseAnswer(string)",9,0,0.04,0.00,
"Root","BingAnswers.MSDNForum.GetAnswer(string)","BingAnswers.MSDNForum.GetAnswer(string)",647,22,2.58,0.09,
"Caller","BingAnswers.MSDNForum.GetAnswer(string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",647,22,2.58,0.09,
"Callee","BingAnswers.MSDNForum.GetAnswer(string)","BingAnswers.MSDNForum.ParseResponse(string)",565,51,2.25,0.20,
"Callee","BingAnswers.MSDNForum.GetAnswer(string)","BingAnswers.MSDNForum.SendRequest(string)",3,0,0.01,0.00,
"Callee","BingAnswers.MSDNForum.GetAnswer(string)","JIT_GetGenericsGCStaticBase(class MethodTable *)",49,49,0.20,0.20,
"Callee","BingAnswers.MSDNForum.GetAnswer(string)","ThreadNative::IsAlive(class ThreadBaseObject *)",8,8,0.03,0.03,
"Root","BingAnswers.MSDNForum.ParseAnswer(string)","BingAnswers.MSDNForum.ParseAnswer(string)",9,0,0.04,0.00,
"Caller","BingAnswers.MSDNForum.ParseAnswer(string)","BingAnswers.MSDNForum.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",9,0,0.04,0.00,
"Callee","BingAnswers.MSDNForum.ParseAnswer(string)","System.Xml.XmlDocument.LoadXml(string)",8,8,0.03,0.03,
"Callee","BingAnswers.MSDNForum.ParseAnswer(string)","System.Xml.XmlNode.get_FirstChild()",1,1,0.00,0.00,
"Root","BingAnswers.MSDNForum.ParseResponse(string)","BingAnswers.MSDNForum.ParseResponse(string)",568,51,2.26,0.20,
"Caller","BingAnswers.MSDNForum.ParseResponse(string)","BingAnswers.MSDNForum.GetAnswer(string)",565,51,2.25,0.20,
"Callee","BingAnswers.MSDNForum.ParseResponse(string)","__EH_epilog3",1,1,0.00,0.00,
"Callee","BingAnswers.MSDNForum.ParseResponse(string)","System.Collections.Generic.List`1..ctor()",16,16,0.06,0.06,
"Callee","BingAnswers.MSDNForum.ParseResponse(string)","System.Collections.Generic.List`1.Add(!0)",98,98,0.39,0.39,
"Callee","BingAnswers.MSDNForum.ParseResponse(string)","System.Collections.Generic.List`1.Enumerator.Dispose()",2,2,0.01,0.01,
"Callee","BingAnswers.MSDNForum.ParseResponse(string)","System.Collections.Generic.List`1.Enumerator.get_Current()",4,4,0.02,0.02,
"Callee","BingAnswers.MSDNForum.ParseResponse(string)","System.Collections.Generic.List`1.Enumerator.MoveNext()",45,45,0.18,0.18,
"Callee","BingAnswers.MSDNForum.ParseResponse(string)","System.Collections.Generic.List`1.GetEnumerator()",43,43,0.17,0.17,
"Callee","BingAnswers.MSDNForum.ParseResponse(string)","System.Threading.Thread.get_IsAlive()",307,307,1.22,1.22,
"Callee","BingAnswers.MSDNForum.ParseResponse(string)","System.Threading.Thread.Start()",1,1,0.00,0.00,
"Root","BingAnswers.MSDNForum.SendRequest(string)","BingAnswers.MSDNForum.SendRequest(string)",3,0,0.01,0.00,
"Caller","BingAnswers.MSDNForum.SendRequest(string)","BingAnswers.MSDNForum.GetAnswer(string)",3,0,0.01,0.00,
"Callee","BingAnswers.MSDNForum.SendRequest(string)","BingAnswers.Util.MakeWebRequest(string)",3,0,0.01,0.00,
"Root","BingAnswers.Quora.<>c__DisplayClass3.<ParseSearchResult>b__0()","BingAnswers.Quora.<>c__DisplayClass3.<ParseSearchResult>b__0()","1,528",0,6.09,0.00,
"Callee","BingAnswers.Quora.<>c__DisplayClass3.<ParseSearchResult>b__0()","BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","1,528",0,6.09,0.00,
"Root","BingAnswers.Quora.GetAnswer(string)","BingAnswers.Quora.GetAnswer(string)","9,854",525,39.29,2.09,
"Caller","BingAnswers.Quora.GetAnswer(string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","9,854",525,39.29,2.09,
"Callee","BingAnswers.Quora.GetAnswer(string)","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","8,677",563,34.60,2.24,
"Callee","BingAnswers.Quora.GetAnswer(string)","BingAnswers.Quora.sendBingSearchRequest(string)",11,0,0.04,0.00,
"Callee","BingAnswers.Quora.GetAnswer(string)","JIT_GetGenericsGCStaticBase(class MethodTable *)",499,499,1.99,1.99,
"Callee","BingAnswers.Quora.GetAnswer(string)","JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",1,1,0.00,0.00,
"Callee","BingAnswers.Quora.GetAnswer(string)","System.Collections.Generic.List`1.Enumerator.MoveNext()",5,5,0.02,0.02,
"Callee","BingAnswers.Quora.GetAnswer(string)","System.Collections.Generic.List`1.GetEnumerator()",14,14,0.06,0.06,
"Callee","BingAnswers.Quora.GetAnswer(string)","ThreadNative::IsAlive(class ThreadBaseObject *)",121,121,0.48,0.48,
"Callee","BingAnswers.Quora.GetAnswer(string)","Unknown Frame(s)",1,1,0.00,0.00,
"Root","BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","1,528",0,6.09,0.00,
"Caller","BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.Quora.<>c__DisplayClass3.<ParseSearchResult>b__0()","1,528",0,6.09,0.00,
"Callee","BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)",924,0,3.68,0.00,
