Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
0,16984,2,14316,"__CorExeMain_Exported@0","1,343.46","192,046.55","1,870,548,443","190,703.09",
0,16984,3,13684,"Thread::intermediateThreadProc(void *)","1,684.85","192,042.87","1,844,756,504","190,358.02",
0,16984,4,8832,"Thread::intermediateThreadProc(void *)","1,684.99","61,942.61","1,844,756,504","60,257.62",
0,16984,5,19144,"Thread::intermediateThreadProc(void *)","1,684.98","167,897.88","1,844,756,504","166,212.90",
0,16984,6,11728,"Thread::intermediateThreadProc(void *)","1,781.82","29,994.62","1,844,756,504","28,212.80",
0,16984,7,19820,"ThreadpoolMgr::TimerThreadStart(void *)","1,787.98","192,042.92","1,844,785,510","190,254.94",
0,16984,8,15524,"Thread::intermediateThreadProc(void *)","1,909.13","192,042.88","1,844,756,504","190,133.76",
0,16984,9,9332,"Thread::intermediateThreadProc(void *)","4,651.69","192,042.92","1,844,756,504","187,391.23",
0,16984,10,8508,"Thread::intermediateThreadProc(void *)","14,595.03","61,942.50","1,844,756,504","47,347.47",
0,16984,11,14236,"Thread::intermediateThreadProc(void *)","14,940.77","16,038.72","1,844,756,504","1,097.95",
0,16984,12,3812,"Thread::intermediateThreadProc(void *)","14,941.17","18,018.79","1,844,756,504","3,077.62",
0,16984,13,13124,"Thread::intermediateThreadProc(void *)","14,941.45","16,310.44","1,844,756,504","1,368.99",
0,16984,14,2600,"Thread::intermediateThreadProc(void *)","14,941.65","17,227.72","1,844,756,504","2,286.07",
0,16984,15,15448,"Thread::intermediateThreadProc(void *)","14,941.88","16,335.04","1,844,756,504","1,393.16",
0,16984,16,11240,"Thread::intermediateThreadProc(void *)","14,942.08","16,007.29","1,844,756,504","1,065.21",
0,16984,17,7828,"Thread::intermediateThreadProc(void *)","14,942.87","17,197.19","1,844,756,504","2,254.33",
0,16984,18,14396,"Thread::intermediateThreadProc(void *)","14,944.29","16,964.46","1,844,756,504","2,020.17",
0,16984,19,14632,"Thread::intermediateThreadProc(void *)","14,944.94","18,053.96","1,844,756,504","3,109.02",
0,16984,20,19752,"Thread::intermediateThreadProc(void *)","14,995.38","29,995.62","1,844,756,504","15,000.24",
0,16984,21,16868,"Thread::intermediateThreadProc(void *)","14,995.56","192,042.92","1,844,756,504","177,047.36",
0,16984,22,4996,"_RasmanServiceMonitorThread@0","15,150.03","192,042.92","1,762,996,987","176,892.89",
0,16984,23,13996,"Thread::intermediateThreadProc(void *)","15,213.68","192,042.89","1,844,756,504","176,829.21",
0,16984,24,15508,"CRpcThreadCache::RpcWorkerThreadEntry(void *)","15,583.26","105,594.99","1,976,490,084","90,011.73",
0,16984,25,18444,"Thread::intermediateThreadProc(void *)","15,949.20","16,294.38","1,844,756,504",345.17,
0,16984,26,11840,"Thread::intermediateThreadProc(void *)","15,949.52","16,310.30","1,844,756,504",360.79,
0,16984,27,20528,"Thread::intermediateThreadProc(void *)","15,949.74","16,216.16","1,844,756,504",266.42,
0,16984,28,10036,"Thread::intermediateThreadProc(void *)","15,950.05","16,165.02","1,844,756,504",214.97,
0,16984,29,13028,"Thread::intermediateThreadProc(void *)","16,006.30","17,173.76","1,844,756,504","1,167.46",
0,16984,30,1324,"Thread::intermediateThreadProc(void *)","16,006.36","17,810.90","1,844,756,504","1,804.55",
0,16984,31,17036,"Thread::intermediateThreadProc(void *)","16,006.43","16,933.83","1,844,756,504",927.39,
0,16984,32,19220,"Thread::intermediateThreadProc(void *)","16,007.58","18,053.92","1,844,756,504","2,046.34",
0,16984,33,12996,"Thread::intermediateThreadProc(void *)","16,008.26","17,765.68","1,844,756,504","1,757.42",
0,16984,34,2912,"Thread::intermediateThreadProc(void *)","16,009.50","17,112.82","1,844,756,504","1,103.32",
0,16984,35,16852,"Thread::intermediateThreadProc(void *)","16,009.58","16,964.17","1,844,756,504",954.59,
0,16984,36,1524,"Thread::intermediateThreadProc(void *)","16,009.71","17,197.12","1,844,756,504","1,187.41",
0,16984,37,6976,"Thread::intermediateThreadProc(void *)","16,010.01","16,830.23","1,844,756,504",820.21,
0,16984,38,11188,"Thread::intermediateThreadProc(void *)","16,795.01","167,897.73","1,844,756,504","151,102.72",
0,16984,39,3012,"WKS::gc_heap::gc_thread_stub(void *)","18,028.69","78,090.39","1,844,758,401","60,061.70",
0,16984,40,16376,"Thread::intermediateThreadProc(void *)","21,868.64","192,042.93","1,844,756,504","170,174.29",
0,16984,41,2780,"Thread::intermediateThreadProc(void *)","21,868.68","192,042.95","1,844,756,504","170,174.27",
0,16984,42,18076,"_TppWorkerThread@4","22,159.18","192,042.89","1,996,383,865","169,883.70",
0,16984,43,5836,"Thread::intermediateThreadProc(void *)","27,251.98","28,320.69","1,844,756,504","1,068.72",
0,16984,44,12200,"Thread::intermediateThreadProc(void *)","27,252.50","28,192.07","1,844,756,504",939.57,
0,16984,45,2564,"Thread::intermediateThreadProc(void *)","27,252.95","28,750.41","1,844,756,504","1,497.46",
0,16984,46,12036,"Thread::intermediateThreadProc(void *)","27,253.61","28,785.20","1,844,756,504","1,531.59",
0,16984,47,21952,"Thread::intermediateThreadProc(void *)","27,254.04","28,186.25","1,844,756,504",932.20,
0,16984,48,20136,"Thread::intermediateThreadProc(void *)","27,254.48","27,993.71","1,844,756,504",739.23,
0,16984,49,8864,"Thread::intermediateThreadProc(void *)","27,254.78","28,560.59","1,844,756,504","1,305.81",
0,16984,50,21528,"Thread::intermediateThreadProc(void *)","27,255.10","28,298.76","1,844,756,504","1,043.66",
0,16984,51,18016,"Thread::intermediateThreadProc(void *)","27,255.39","29,700.36","1,844,756,504","2,444.97",
0,16984,52,15712,"_TppWorkerThread@4","27,287.58","192,042.92","1,996,383,865","164,755.35",
0,16984,53,21968,"Thread::intermediateThreadProc(void *)","27,533.42","28,544.45","1,844,756,504","1,011.03",
0,16984,54,17016,"Thread::intermediateThreadProc(void *)","27,533.82","28,560.50","1,844,756,504","1,026.67",
0,16984,55,23428,"Thread::intermediateThreadProc(void *)","27,534.20","28,456.82","1,844,756,504",922.61,
0,16984,56,19260,"Thread::intermediateThreadProc(void *)","27,552.61","29,700.23","1,844,756,504","2,147.62",
0,16984,57,11668,"Thread::intermediateThreadProc(void *)","27,553.06","29,126.82","1,844,756,504","1,573.76",
